,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
30186,2021,17 anos,M,Branca,1,cursando,0,Pública,Araucária,PR,,,,,0,,,E,C,C,B,3.0,D,B,D,B,A,B,D,B,B
31123,2021,18 anos,M,Preta,1,cursando,0,Pública,Salvador,BA,,,,,0,,,E,E,B,C,5.0,C,C,D,A,A,B,D,B,B
31522,2021,Entre 26 e 30 anos,F,Parda,1,concluiu,14,Não respondeu,Biguaçu,SC,,,,,1,,,D,D,C,C,2.0,I,C,C,B,A,B,C,A,B
31894,2021,17 anos,F,Parda,1,cursando,0,Privada,Arapiraca,AL,,,,,0,,,F,G,D,D,4.0,H,C,C,B,B,B,E,C,B
34708,2021,18 anos,F,Preta,1,cursando,0,Pública,Montes Claros,MG,,,,,0,,,B,B,B,B,6.0,D,C,D,A,A,B,D,A,B
34830,2021,18 anos,M,Branca,1,cursando,0,Pública,Castelo do Piauí,PI,,,,,1,,,C,E,A,A,4.0,A,B,C,A,B,B,C,A,B
35785,2021,Entre 46 e 50 anos,F,Branca,1,concluiu,15,Não respondeu,Fortaleza,CE,,,,,1,,,B,B,C,B,4.0,D,B,D,B,A,B,E,A,A
35795,2021,18 anos,F,Parda,1,cursando,0,Pública,Curitiba,PR,,,,,1,,,H,E,F,F,3.0,E,B,D,B,A,B,D,B,B
36855,2021,Menor de 17 anos,F,Parda,1,cursando,0,Não respondeu,Petrolina,PE,,,,,0,,,C,D,C,A,3.0,A,B,C,A,A,B,C,A,B
38736,2021,19 anos,F,Branca,1,concluiu,2,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,B,E,D,B,4.0,D,B,C,B,A,B,E,A,B
38752,2021,Entre 41 e 45 anos,M,Parda,1,concluiu,15,Não respondeu,Escada,PE,,,,,1,,,B,C,A,A,6.0,G,C,E,B,A,C,E,B,B
38763,2021,17 anos,M,Parda,1,cursando,0,Pública,Tangará da Serra,MT,,,,,0,,,E,E,F,B,2.0,B,B,C,A,A,B,C,B,B
39019,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,São Caetano do Sul,SP,,,,,1,,,E,E,E,F,4.0,H,C,D,B,A,B,E,C,B
39880,2021,18 anos,F,Parda,1,cursando,0,Pública,Feira de Santana,BA,,,,,1,,,G,E,D,B,3.0,B,C,C,A,B,B,D,B,B
41086,2021,17 anos,F,Parda,1,cursando,0,Pública,Rondonópolis,MT,,,,,1,,,D,G,D,D,3.0,C,B,C,B,B,B,D,B,B
42120,2021,17 anos,F,Parda,1,cursando,0,Pública,Campo Mourão,PR,,,,,1,,,B,B,B,B,4.0,B,B,C,A,A,B,C,A,B
43768,2021,17 anos,F,Parda,1,cursando,0,Pública,Crateús,CE,554.0,,,416.3,0,,,C,E,B,B,5.0,B,B,D,A,A,B,C,B,B
45733,2021,Entre 31 e 35 anos,F,Branca,1,concluiu,9,Não respondeu,Garanhuns,PE,,,,,0,,,B,B,A,C,4.0,B,B,C,A,B,B,C,A,B
46463,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,Toledo,PR,489.9,,,553.8,0,,,F,G,E,D,2.0,L,B,D,C,A,B,D,C,B
46942,2021,Entre 31 e 35 anos,M,Branca,1,concluiu,13,Não respondeu,Curitiba,PR,,,,,0,,,B,B,C,B,1.0,C,B,C,A,A,B,B,B,B
47371,2021,19 anos,M,Branca,1,cursando,0,Pública,Cachoeira do Sul,RS,,,,,0,,,D,B,A,A,4.0,B,B,C,B,A,B,B,B,B
48026,2021,Entre 31 e 35 anos,F,Branca,1,concluiu,0,Não respondeu,Rio Negrinho,SC,439.0,,,542.0,0,,,C,E,C,B,4.0,D,B,C,B,A,B,B,A,A
48070,2021,20 anos,F,Preta,1,cursando,0,Pública,Fortaleza,CE,,,,,1,,,B,D,C,B,3.0,B,B,B,A,A,B,D,A,B
48376,2021,Entre 26 e 30 anos,M,Branca,1,concluiu,0,Não respondeu,Catalão,GO,,,,,1,,,B,D,A,B,2.0,C,C,B,A,B,B,C,A,B
49979,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,Anápolis,GO,,,,,1,,,E,E,D,C,4.0,F,C,C,B,A,B,D,B,B
50015,2021,18 anos,F,Parda,1,cursando,0,Pública,São José dos Pinhais,PR,,,,,1,,,B,E,B,B,3.0,B,B,C,A,B,B,B,A,B
51444,2021,17 anos,F,Preta,1,cursando,0,Pública,Belém,PA,,,,,0,,,D,E,D,F,2.0,C,B,B,A,A,B,B,A,B
51614,2021,17 anos,M,Branca,1,cursando,0,Pública,São José do Rio Preto,SP,419.8,,,491.4,0,,,E,G,D,D,2.0,H,C,C,B,B,B,C,C,B
52989,2021,19 anos,F,Amarela,1,concluiu,2,Não respondeu,Rio Formoso,PE,,,,,1,,,C,E,B,C,4.0,B,C,D,A,B,B,E,A,B
54592,2021,21 anos,M,Branca,1,concluiu,3,Não respondeu,Varginha,MG,,,,,0,,,C,E,A,D,1.0,C,B,B,A,A,B,B,A,B
54776,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Poço Redondo,SE,617.7,,,761.9,0,,,C,E,A,A,4.0,B,B,D,B,A,B,D,B,B
55339,2021,17 anos,F,Preta,1,cursando,0,Não respondeu,Batalha,AL,,,,,0,,,E,C,D,A,4.0,C,B,D,A,B,B,B,A,B
58334,2021,17 anos,F,Parda,1,cursando,0,Pública,Pedro Afonso,TO,,,,,1,,,E,E,D,D,3.0,J,B,D,B,A,B,D,B,B
59044,2021,19 anos,M,Branca,1,concluiu,0,Não respondeu,Santa Maria,RS,,,,,0,,,G,F,A,D,3.0,H,B,C,C,A,B,B,D,B
