,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
773964,2021,18 anos,F,Branca,1,cursando,0,Pública,Ponta Grossa,PR,,,,,1,,,B,B,C,B,2.0,C,B,C,A,A,B,C,A,B
774251,2021,18 anos,M,Preta,1,cursando,0,Pública,Petrolina,PE,,,,,1,,,E,E,B,B,4.0,B,B,C,A,B,B,D,A,B
774275,2021,17 anos,F,Branca,1,cursando,0,Não respondeu,Lagarto,SE,,,,,1,,,C,E,C,B,4.0,F,B,E,A,A,B,E,B,B
774465,2021,18 anos,M,Parda,1,cursando,0,Pública,Grajaú,MA,,,,,1,,,B,B,A,A,4.0,B,A,B,A,A,B,A,A,B
775249,2021,24 anos,M,Parda,1,concluiu,0,Não respondeu,Itaboraí,RJ,,,,,1,,,B,B,B,B,3.0,D,B,B,B,A,B,C,B,B
776030,2021,18 anos,F,Não declarado,1,cursando,0,Pública,Fortaleza,CE,,,,,0,,,B,C,C,B,7.0,C,B,C,A,A,B,B,A,B
776677,2021,19 anos,M,Parda,1,concluiu,2,Não respondeu,Porto Acre,AC,,,,,1,,,E,F,B,A,3.0,C,C,C,B,A,B,C,A,B
777506,2021,17 anos,M,Parda,1,cursando,0,Não respondeu,Caetité,BA,,,,,0,,,B,E,F,B,3.0,B,B,C,A,B,B,C,B,B
777779,2021,18 anos,F,Branca,1,concluiu,1,Não respondeu,Jundiaí,SP,510.0,,,487.9,0,,,F,E,D,B,3.0,G,B,C,B,B,B,D,C,B
778049,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Camaragibe,PE,,,,,0,,,G,E,B,B,2.0,A,B,C,A,A,B,B,A,B
778485,2021,18 anos,F,Amarela,1,cursando,0,Pública,Caldas Novas,GO,,,,,1,,,D,E,B,B,2.0,B,B,C,A,B,B,C,A,B
778601,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,Remígio,PB,,,,,1,,,C,F,C,E,4.0,B,C,D,B,A,B,E,A,B
778720,2021,Entre 26 e 30 anos,F,Preta,1,concluiu,10,Não respondeu,Duque de Caxias,RJ,349.3,,,372.8,1,,,B,B,B,B,2.0,C,B,C,B,A,B,C,B,B
779172,2021,18 anos,F,Parda,1,cursando,0,Pública,Barueri,SP,,,,,0,,,E,E,C,B,5.0,G,B,C,B,A,B,E,B,B
779784,2021,18 anos,F,Parda,1,cursando,0,Pública,Pedra Branca,CE,504.7,,,558.2,0,,,D,D,A,A,4.0,B,B,C,A,B,B,C,A,B
780556,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Recife,PE,,,,,0,,,D,D,B,B,3.0,B,B,B,A,A,B,C,A,B
780668,2021,18 anos,M,Parda,1,cursando,0,Pública,Cáceres,MT,,,,,0,,,D,E,B,C,6.0,F,B,E,B,A,B,E,B,B
781711,2021,22 anos,F,Parda,1,concluiu,5,Não respondeu,Santana de Parnaíba,SP,,,,,1,,,E,E,D,F,6.0,E,C,D,B,A,B,E,B,B
782242,2021,17 anos,M,Parda,1,cursando,0,Pública,São Joaquim da Barra,SP,511.2,,,512.6,0,,,D,E,C,B,3.0,C,C,D,C,B,B,D,B,B
783277,2021,20 anos,M,Branca,1,concluiu,2,Não respondeu,Russas,CE,,,,,0,,,D,F,D,D,3.0,C,C,D,B,A,B,D,C,B
783578,2021,21 anos,M,Branca,1,concluiu,4,Não respondeu,Parnamirim,RN,,,,,1,,,D,D,C,B,4.0,C,B,C,B,A,B,E,B,B
784031,2021,18 anos,M,Branca,1,cursando,0,Pública,Tubarão,SC,399.7,,,368.8,0,,,G,E,D,D,3.0,J,D,D,C,A,C,D,B,B
784322,2021,Entre 31 e 35 anos,M,Branca,1,concluiu,15,Não respondeu,Osasco,SP,,,,,0,,,D,D,B,B,2.0,D,B,D,B,B,B,D,B,B
785100,2021,Entre 26 e 30 anos,F,Branca,1,concluiu,10,Não respondeu,Vitória,ES,,,,,1,,,D,B,C,C,3.0,E,B,C,A,A,B,C,B,B
785528,2021,18 anos,M,Parda,1,cursando,0,Pública,Pedra Branca,CE,441.1,,,461.1,1,,,D,D,A,A,4.0,B,B,B,A,B,B,C,A,B
786893,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,Itabaiana,SE,,,,,0,,,E,E,D,B,4.0,E,C,D,B,C,B,D,B,B
786915,2021,19 anos,M,Branca,1,concluiu,2,Não respondeu,Cuiabá,MT,586.6,,,658.3,0,,,H,F,F,F,3.0,L,C,C,B,A,B,C,B,B
787665,2021,Entre 26 e 30 anos,F,Indígena,1,concluiu,7,Não respondeu,Rio Branco,AC,,,,,1,,,E,A,B,B,2.0,B,B,B,A,A,B,B,A,A
787913,2021,18 anos,F,Preta,1,cursando,0,Pública,Recife,PE,,,,,1,,,D,F,C,B,3.0,C,B,B,A,A,B,C,A,A
788502,2021,17 anos,F,Branca,1,cursando,0,Privada,Natal,RN,373.0,,,537.8,1,,,H,E,F,D,3.0,A,C,D,C,A,B,A,A,B
788715,2021,21 anos,M,Parda,1,concluiu,1,Não respondeu,Manaus,AM,,,,,1,,,H,D,C,B,3.0,B,B,B,A,A,B,D,A,B
788953,2021,22 anos,F,Parda,1,concluiu,0,Não respondeu,Maceió,AL,,,,,1,,,D,E,F,B,5.0,B,B,D,A,A,B,E,A,B
789197,2021,18 anos,M,Parda,1,cursando,0,Pública,Juazeiro do Norte,CE,,,,,0,,,E,F,F,D,2.0,B,B,C,A,B,B,C,B,B
789688,2021,21 anos,M,Parda,1,concluiu,2,Não respondeu,Fortaleza,CE,,,,,1,,,E,D,F,B,2.0,C,B,C,A,A,B,C,A,B
790008,2021,20 anos,M,Branca,1,concluiu,2,Não respondeu,Santana de Parnaíba,SP,,,,,0,,,G,F,D,B,1.0,C,B,B,A,A,B,B,A,A
790628,2021,Entre 31 e 35 anos,M,Parda,1,concluiu,11,Não respondeu,Manaus,AM,,,,,0,,,B,B,F,F,2.0,A,B,B,A,A,B,A,A,A
790828,2021,20 anos,M,Preta,1,cursando,0,Pública,Floriano,PI,,,,,1,,,B,C,C,C,3.0,B,B,C,A,A,B,C,B,B
790998,2021,20 anos,M,Preta,1,cursando,0,Pública,Salvador,BA,,,,,0,,,B,C,C,C,5.0,C,B,C,A,A,B,B,B,B
791049,2021,25 anos,M,Branca,1,concluiu,4,Não respondeu,Dourados,MS,,,,,1,,,B,C,B,B,3.0,C,B,C,A,A,B,C,B,B
795826,2021,18 anos,M,Parda,1,cursando,0,Pública,Quixadá,CE,,,,,1,,,H,C,B,B,4.0,B,B,C,A,A,B,B,A,A
797003,2021,Entre 31 e 35 anos,M,Parda,1,concluiu,12,Não respondeu,Fortaleza,CE,,,,,0,,,E,C,B,A,1.0,A,B,B,A,A,B,B,A,A
800265,2021,19 anos,M,Parda,1,concluiu,1,Não respondeu,Macapá,AP,,,,,1,,,B,C,B,B,5.0,C,B,B,A,A,B,B,A,B
800509,2021,19 anos,F,Parda,1,cursando,0,Pública,Guarapari,ES,,,,,1,,,E,E,F,D,2.0,F,B,C,A,A,B,C,A,B
800576,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Marília,SP,511.6,,,601.3,0,,,C,E,E,F,4.0,P,E,D,C,A,B,E,C,B
800721,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,C,E,F,B,2.0,A,B,B,A,A,B,B,B,B
801791,2021,17 anos,F,Parda,1,cursando,0,Pública,Esperantina,PI,,,,,1,,,C,C,B,B,4.0,B,B,C,A,B,B,C,A,A
801953,2021,20 anos,M,Preta,1,concluiu,2,Não respondeu,Aracaju,SE,,,,,1,,,E,H,F,F,3.0,B,B,B,A,A,B,C,A,B
802792,2021,17 anos,M,Branca,1,cursando,0,Pública,Palhoça,SC,623.5,,,732.9,1,,,C,D,A,A,4.0,D,C,D,B,A,B,E,B,B
802911,2021,18 anos,F,Branca,1,concluiu,1,Não respondeu,Imperatriz,MA,,,,,0,,,H,C,F,B,4.0,E,C,D,A,B,B,E,B,B
804141,2021,18 anos,F,Branca,1,cursando,0,Pública,Santa Maria da Boa Vista,PE,,,,,1,,,E,G,A,E,3.0,B,B,C,A,B,B,D,A,B
804504,2021,17 anos,M,Parda,1,cursando,0,Pública,Cáceres,MT,,,,,0,,,B,B,A,A,3.0,B,B,B,B,B,B,C,A,A
805888,2021,24 anos,F,Parda,1,concluiu,0,Não respondeu,Salvador,BA,,,,,0,,,C,B,C,B,2.0,B,B,C,A,A,B,C,A,B
806548,2021,17 anos,F,Amarela,1,cursando,0,Pública,Capitão Poço,PA,,,,,1,,,C,C,A,A,4.0,A,B,C,A,A,A,B,A,A
806883,2021,18 anos,M,Parda,2,cursando,0,Pública,Ceará-Mirim,RN,,,,,0,,,E,E,B,B,6.0,F,C,D,B,A,B,D,B,B
807945,2021,18 anos,M,Parda,1,concluiu,1,Não respondeu,Belém,PA,,,,,0,,,E,E,C,F,3.0,C,B,C,A,B,B,D,B,B
808269,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Cascavel,PR,,,,,0,,,D,G,C,D,4.0,I,B,E,B,B,B,D,B,B
808441,2021,20 anos,F,Parda,1,concluiu,2,Não respondeu,Marabá,PA,,,,,1,,,C,C,B,B,4.0,A,B,C,A,B,B,B,B,B
809534,2021,21 anos,F,Preta,1,concluiu,4,Não respondeu,Miracema do Tocantins,TO,,,,,0,,,D,B,C,B,4.0,C,B,D,A,B,B,D,A,B
810442,2021,19 anos,F,Parda,1,cursando,0,Pública,Manaus,AM,,,,,1,,,C,E,B,B,3.0,B,C,C,A,A,B,D,A,B
810700,2021,17 anos,M,Branca,1,cursando,0,Pública,Gurupi,TO,,,,,1,,,E,E,D,B,5.0,C,B,C,A,B,B,D,A,B
811157,2021,25 anos,F,Não declarado,1,concluiu,8,Não respondeu,Ladainha,MG,378.8,,,419.6,1,,,B,B,B,B,4.0,D,B,C,B,A,B,C,A,B
811383,2021,20 anos,F,Branca,1,concluiu,2,Não respondeu,Ribeirão Preto,SP,,,,,0,,,C,E,C,F,3.0,B,B,C,B,A,B,D,A,B
811826,2021,18 anos,M,Branca,1,cursando,0,Pública,São Paulo,SP,,,,,0,,,D,F,B,D,4.0,C,B,B,A,A,B,C,B,B
812162,2021,17 anos,M,Branca,1,cursando,0,Pública,Londrina,PR,471.8,,,569.5,0,,,E,F,A,E,3.0,H,D,D,C,C,B,D,B,B
812507,2021,18 anos,M,Parda,1,concluiu,1,Não respondeu,João Pessoa,PB,,,,,0,,,B,G,A,B,2.0,B,B,C,A,A,B,C,B,B
813302,2021,19 anos,F,Parda,1,cursando,0,Pública,Sobradinho,BA,,,,,0,,,B,D,A,A,5.0,B,B,D,A,B,B,C,A,B
815142,2021,18 anos,M,Parda,1,cursando,0,Pública,Fortaleza,CE,,,,,1,,,E,D,C,B,5.0,B,B,B,A,A,B,B,A,A
816768,2021,20 anos,F,Parda,1,concluiu,3,Não respondeu,Macapá,AP,,,,,1,,,E,F,A,D,5.0,B,B,C,A,A,B,B,A,B
817151,2021,18 anos,F,Parda,1,cursando,0,Pública,Quixeramobim,CE,,,,,1,,,H,H,A,A,3.0,A,B,C,A,B,B,C,A,B
817228,2021,17 anos,F,Preta,1,cursando,0,Pública,Rio de Janeiro,RJ,503.1,,,653.9,0,,,E,E,C,F,5.0,D,C,C,B,A,B,E,C,B
818962,2021,20 anos,M,Parda,1,concluiu,3,Não respondeu,Belém,PA,361.5,,,389.0,0,,,E,E,B,B,3.0,D,B,C,A,A,B,D,A,B
819689,2021,24 anos,F,Parda,1,concluiu,7,Não respondeu,Ibirité,MG,,,,,0,,,D,C,B,B,3.0,D,B,C,A,B,B,C,A,B
821594,2021,18 anos,F,Parda,1,cursando,0,Pública,Jucás,CE,,,,,1,,,D,C,C,B,4.0,B,B,D,A,C,B,C,A,B
821663,2021,21 anos,F,Preta,1,concluiu,3,Não respondeu,Santana,BA,431.4,,,476.9,0,,,C,G,A,D,1.0,D,B,B,A,A,B,B,B,B
822262,2021,20 anos,F,Parda,1,concluiu,2,Não respondeu,Salvador,BA,565.2,,,642.3,0,,,G,F,D,D,5.0,G,D,D,B,C,B,E,B,B
824385,2021,21 anos,F,Preta,1,cursando,0,Pública,Juazeiro do Norte,CE,,,,,1,,,C,B,A,A,4.0,B,B,B,A,A,B,B,A,B
825347,2021,17 anos,F,Parda,1,cursando,0,Pública,Rio Verde de Mato Grosso,MS,,,,,0,,,E,E,D,B,6.0,B,B,C,A,A,B,C,A,A
825918,2021,21 anos,M,Branca,1,concluiu,4,Não respondeu,Maringá,PR,,,,,0,,,F,F,E,E,4.0,O,D,D,B,A,B,E,E,B
826500,2021,19 anos,F,Parda,1,cursando,0,Pública,Fortaleza,CE,,,,,1,,,D,D,B,B,1.0,B,B,B,A,A,B,B,A,B
826543,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,Minas Novas,MG,,,,,0,,,D,D,C,A,7.0,D,B,B,B,B,B,B,A,A
828130,2021,18 anos,M,Branca,1,cursando,0,Pública,Mossoró,RN,,,,,1,,,H,H,F,F,6.0,B,B,D,A,A,B,E,B,B
828435,2021,18 anos,F,Branca,1,cursando,0,Pública,Areia Branca,RN,,,,,1,,,D,D,F,B,4.0,A,B,C,A,B,B,E,A,B
830096,2021,17 anos,F,Parda,1,cursando,0,Pública,Presidente Prudente,SP,,,,,0,,,D,D,B,A,5.0,C,B,D,B,A,B,C,A,B
830643,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Curitiba,PR,,,,,1,,,F,F,B,D,2.0,G,C,D,B,A,B,C,C,B
831101,2021,20 anos,F,Parda,1,concluiu,3,Não respondeu,Rio Branco,AC,,,,,1,,,E,E,D,D,4.0,K,C,C,A,A,B,D,B,B
834569,2021,17 anos,F,Parda,1,cursando,0,Pública,Itabuna,BA,,,,,0,,,H,E,F,F,4.0,B,B,C,A,A,B,C,A,B
834814,2021,18 anos,M,Parda,1,cursando,0,Pública,Bebedouro,SP,,,,,0,,,E,G,C,D,5.0,D,B,C,B,B,B,D,B,B
836131,2021,17 anos,M,Branca,1,cursando,0,Privada,Itatiba,SP,542.9,,,468.7,1,,,E,F,D,D,2.0,G,C,D,C,A,B,E,D,B
836250,2021,17 anos,F,Parda,1,cursando,0,Privada,Juazeiro,BA,,,,,1,,,F,E,D,D,5.0,G,C,D,B,B,B,E,B,A
836881,2021,19 anos,F,Parda,1,cursando,0,Pública,Paramirim,BA,,,,,1,,,B,D,A,B,3.0,B,B,D,A,B,B,D,B,B
838549,2021,Entre 36 e 40 anos,F,Branca,1,concluiu,15,Não respondeu,São Bernardo do Campo,SP,449.7,,,519.2,1,,,C,C,B,B,4.0,C,C,C,A,A,B,C,B,B
839512,2021,19 anos,F,Parda,1,cursando,0,Pública,Fortaleza,CE,350.4,,,401.8,1,,,C,E,B,B,4.0,A,B,C,A,A,B,A,A,B
841313,2021,17 anos,F,Branca,1,cursando,0,Pública,Araçatuba,SP,,,,,1,,,C,D,C,B,4.0,D,C,D,A,B,B,B,A,B
841770,2021,19 anos,F,Parda,1,cursando,0,Pública,Canindé,CE,,,,,0,,,H,F,C,D,4.0,E,C,D,A,B,B,E,B,B
843662,2021,18 anos,M,Preta,1,cursando,0,Pública,Fortaleza,CE,,,,,1,,,D,D,B,B,3.0,C,B,C,A,A,B,C,A,B
844298,2021,Entre 26 e 30 anos,F,Branca,1,concluiu,9,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,E,G,D,E,5.0,J,C,E,C,A,B,E,D,B
845760,2021,21 anos,F,Branca,1,concluiu,4,Não respondeu,Monte Mor,SP,,,,,0,,,G,E,D,D,2.0,D,B,B,B,A,B,C,B,B
846495,2021,18 anos,F,Não declarado,1,cursando,0,Privada,São Paulo,SP,,,,,0,,,F,G,D,D,5.0,M,E,E,B,A,B,D,D,B
846601,2021,17 anos,F,Parda,1,cursando,0,Pública,Aracati,CE,,,,,0,,,E,F,C,D,3.0,D,C,C,B,A,B,D,C,B
846803,2021,18 anos,M,Branca,1,cursando,0,Pública,Resende,RJ,,,,,0,,,C,D,C,B,3.0,D,B,C,A,C,B,D,B,B
847877,2021,18 anos,F,Preta,1,cursando,0,Pública,Salvador,BA,,,,,1,,,E,E,F,B,5.0,B,B,C,A,A,B,B,A,B
847948,2021,17 anos,M,Parda,1,cursando,0,Pública,Marco,CE,,,,,0,,,C,B,A,B,3.0,A,C,C,A,A,B,D,A,B
848368,2021,20 anos,M,Parda,1,cursando,0,Pública,Madalena,CE,,,,,1,,,B,B,A,A,4.0,A,B,B,A,A,B,B,A,A
849036,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,Arujá,SP,,,,,0,,,G,G,D,E,4.0,J,D,D,C,A,B,E,E,B
855019,2021,Entre 36 e 40 anos,F,Branca,1,concluiu,15,Não respondeu,Crato,CE,,,,,1,,,A,B,A,A,3.0,B,C,D,A,B,B,C,B,B
856899,2021,23 anos,F,Preta,1,cursando,0,Pública,Teresina,PI,,,,,1,,,B,B,A,A,6.0,A,B,B,A,A,B,B,A,A
856965,2021,19 anos,F,Branca,1,cursando,0,Pública,Araxá,MG,,,,,0,,,E,F,A,D,4.0,F,C,D,B,A,C,E,B,B
857894,2021,25 anos,F,Parda,1,concluiu,8,Não respondeu,Salvador,BA,,,,,0,,,H,C,B,B,4.0,B,B,C,A,A,B,B,A,B
858281,2021,17 anos,F,Branca,1,cursando,0,Pública,Currais Novos,RN,,,,,0,,,D,E,C,D,3.0,C,C,C,B,B,B,B,A,B
858381,2021,18 anos,M,Parda,1,cursando,0,Pública,Mineiros,GO,,,,,0,,,D,E,A,A,5.0,H,C,C,A,C,B,C,B,B
860081,2021,17 anos,M,Branca,1,cursando,0,Pública,Abreu e Lima,PE,,,,,0,,,E,E,B,B,3.0,B,B,C,A,A,B,D,B,B
860225,2021,20 anos,F,Branca,1,concluiu,3,Não respondeu,Ponta Porã,MS,,,,,1,,,E,E,D,D,5.0,D,B,C,B,B,B,D,C,B
860971,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,São Luís,MA,,,,,0,,,E,E,C,D,5.0,B,B,C,A,A,B,B,A,A
861984,2021,Entre 26 e 30 anos,F,Preta,1,concluiu,8,Não respondeu,Barbalha,CE,,,,,1,,,B,B,A,B,6.0,B,C,D,B,A,B,E,B,B
862505,2021,22 anos,F,Parda,1,cursando,0,Pública,Beberibe,CE,,,,,1,,,A,A,F,F,3.0,A,B,B,A,A,B,B,A,A
863592,2021,Menor de 17 anos,F,Parda,2,cursando,0,Não respondeu,Recife,PE,,,,,1,,,C,E,D,D,2.0,C,C,C,A,A,B,C,A,B
864638,2021,17 anos,M,Branca,1,cursando,0,Pública,Curitiba,PR,,,,,0,,,B,D,A,B,3.0,C,B,C,A,A,B,C,B,B
866537,2021,Entre 26 e 30 anos,M,Parda,1,concluiu,10,Não respondeu,São Gonçalo do Amarante,RN,,,,,0,,,B,B,A,B,2.0,B,B,B,B,A,B,B,B,B
868143,2021,17 anos,F,Parda,1,cursando,0,Pública,Fortaleza,CE,,,,,1,,,D,D,C,C,6.0,C,B,C,A,A,B,B,B,B
868554,2021,17 anos,F,Branca,1,cursando,0,Pública,Jardim,CE,,,,,1,,,E,E,A,A,3.0,B,B,C,B,A,B,B,A,B
870387,2021,22 anos,M,Branca,1,concluiu,0,Não respondeu,São Cristóvão,SE,,,,,1,,,H,E,F,B,4.0,B,B,B,A,A,B,C,A,A
870741,2021,19 anos,M,Branca,1,concluiu,2,Não respondeu,Bagé,RS,,,,,1,,,B,C,A,A,3.0,D,B,D,B,A,B,B,A,B
872148,2021,17 anos,F,Branca,1,cursando,0,Não respondeu,São Paulo,SP,,,,,0,,,G,E,D,D,3.0,O,C,D,B,A,B,D,D,B
872201,2021,24 anos,F,Branca,1,concluiu,6,Não respondeu,Brusque,SC,,,,,0,,,E,E,C,B,2.0,F,B,C,A,A,C,B,A,B
872254,2021,19 anos,F,Parda,1,cursando,0,Pública,Mariana,MG,610.6,,,649.9,0,,,H,G,F,D,2.0,B,B,B,A,A,B,B,A,B
873258,2021,18 anos,F,Branca,1,cursando,0,Pública,Ouro Preto do Oeste,RO,,,,,1,,,B,E,A,B,4.0,B,B,C,B,A,B,B,A,B
873733,2021,18 anos,M,Branca,1,cursando,0,Pública,São Luís de Montes Belos,GO,,,,,1,,,D,E,C,B,6.0,D,B,D,B,A,B,D,A,B
874013,2021,19 anos,M,Preta,1,concluiu,1,Não respondeu,Ubaíra,BA,431.5,,,605.1,1,,,B,B,A,A,3.0,B,B,C,A,B,B,C,B,B
874582,2021,20 anos,F,Parda,2,cursando,0,Pública,Natal,RN,,,,,1,,,H,E,F,F,2.0,B,B,C,A,A,B,C,B,B
875808,2021,17 anos,M,Branca,1,cursando,0,Não respondeu,Divinópolis,MG,601.3,,,669.9,0,,,E,G,D,E,3.0,G,C,C,B,A,B,D,C,B
877254,2021,20 anos,M,Parda,1,cursando,0,Pública,Caridade,CE,,,,,1,,,D,D,C,C,4.0,B,B,B,A,A,B,B,A,B
877287,2021,Menor de 17 anos,M,Parda,1,cursando,0,Não respondeu,Solânea,PB,,,,,0,,,E,G,D,D,4.0,G,C,D,B,B,B,D,B,B
878656,2021,19 anos,F,Indígena,1,cursando,0,Pública,Rio Tinto,PB,,,,,1,,,B,E,A,B,2.0,A,B,C,A,A,B,B,A,B
879577,2021,21 anos,F,Parda,1,concluiu,4,Não respondeu,Guaraí,TO,,,,,1,,,B,A,A,B,4.0,D,C,D,A,A,B,D,B,B
879846,2021,18 anos,M,Parda,1,cursando,0,Não respondeu,Presidente Dutra,MA,,,,,0,,,G,E,D,F,4.0,I,E,D,C,A,C,E,E,B
880645,2021,17 anos,M,Parda,1,cursando,0,Pública,Porto Nacional,TO,,,,,0,,,C,C,C,B,6.0,B,B,C,A,A,B,C,A,B
880754,2021,18 anos,M,Branca,1,cursando,0,Privada,São José dos Campos,SP,,,,,0,,,D,F,C,D,3.0,G,B,C,B,A,B,D,B,B
881886,2021,Entre 26 e 30 anos,M,Parda,1,concluiu,9,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,C,E,C,B,3.0,D,B,B,A,A,B,D,B,B
882321,2021,17 anos,F,Parda,1,cursando,0,Privada,Maceió,AL,,,,,1,,,E,E,B,D,4.0,B,C,D,A,A,B,D,B,B
882583,2021,22 anos,M,Parda,1,concluiu,4,Não respondeu,Belo Horizonte,MG,,,,,0,,,C,C,B,C,4.0,G,C,D,C,A,B,D,B,B
883177,2021,19 anos,F,Preta,1,concluiu,2,Não respondeu,Jaboatão dos Guararapes,PE,,,,,0,,,E,E,F,B,5.0,B,B,C,A,A,B,D,A,B
883937,2021,19 anos,F,Preta,1,concluiu,2,Não respondeu,São Luís,MA,,,,,0,,,D,D,B,B,5.0,B,B,D,A,A,B,A,A,B
884845,2021,17 anos,F,Branca,1,cursando,0,Privada,Belo Horizonte,MG,,,,,0,,,E,E,D,D,3.0,D,D,D,B,A,B,D,C,B
886062,2021,25 anos,F,Branca,1,concluiu,8,Não respondeu,João Lisboa,MA,,,,,0,,,B,A,A,A,3.0,B,B,D,A,B,B,B,A,A
886285,2021,22 anos,F,Parda,1,concluiu,4,Não respondeu,Serrinha,BA,,,,,0,,,B,E,B,B,3.0,A,B,C,A,B,B,C,B,B
886705,2021,17 anos,F,Branca,1,cursando,0,Pública,Caruaru,PE,,,,,0,,,H,E,F,B,3.0,C,B,C,A,A,B,D,A,B
888852,2021,18 anos,M,Branca,1,cursando,0,Privada,Lagoa Santa,MG,,,,,0,,,E,E,D,B,4.0,H,C,D,B,A,B,D,B,B
890533,2021,23 anos,F,Branca,1,concluiu,5,Não respondeu,Rio de Janeiro,RJ,0.0,,,0.0,1,,,H,D,F,B,3.0,D,B,B,A,A,B,D,A,B
891815,2021,21 anos,M,Parda,2,concluiu,4,Não respondeu,Juazeiro do Norte,CE,,,,,1,,,B,E,A,B,5.0,B,B,C,A,B,B,E,A,B
892834,2021,25 anos,F,Não declarado,1,concluiu,5,Não respondeu,Teófilo Otoni,MG,,,,,1,,,A,B,F,F,4.0,B,B,E,A,A,B,C,B,B
894858,2021,18 anos,M,Parda,1,concluiu,1,Não respondeu,Fazenda Rio Grande,PR,541.0,,,426.6,1,,,E,E,A,A,6.0,C,C,D,B,B,B,C,B,B
895059,2021,Entre 41 e 45 anos,F,Branca,1,concluiu,0,Não respondeu,Cuiabá,MT,,,,,1,,,B,B,F,B,5.0,C,B,C,A,B,B,C,B,B
895569,2021,20 anos,F,Branca,1,cursando,0,Pública,Uibaí,BA,,,,,1,,,E,D,B,A,6.0,B,C,D,A,B,B,C,B,B
895928,2021,22 anos,F,Parda,1,concluiu,0,Não respondeu,Itabuna,BA,,,,,1,,,B,E,A,A,3.0,F,B,C,A,A,B,C,A,B
897275,2021,18 anos,F,Parda,2,concluiu,1,Não respondeu,Mogi das Cruzes,SP,,,,,1,,,H,B,F,B,8.0,B,C,C,A,A,B,E,A,A
898064,2021,19 anos,F,Parda,1,cursando,0,Pública,Osasco,SP,407.3,,,434.8,1,,,C,B,A,B,3.0,B,B,B,A,B,B,B,A,B
899582,2021,19 anos,F,Branca,4,concluiu,1,Não respondeu,Teófilo Otoni,MG,,,,,0,,,H,F,F,B,4.0,G,C,E,B,A,B,D,B,B
900211,2021,18 anos,M,Branca,1,concluiu,1,Não respondeu,Januária,MG,534.7,,,478.0,0,,,B,G,C,D,5.0,F,D,D,B,B,B,D,B,B
900667,2021,22 anos,M,Parda,1,concluiu,3,Não respondeu,Paulista,PE,,,,,0,,,F,C,D,B,2.0,C,C,C,A,A,B,B,B,B
900923,2021,19 anos,M,Preta,1,cursando,0,Pública,Lagarto,SE,,,,,0,,,E,H,B,B,4.0,D,C,C,B,B,B,D,A,B
902074,2021,18 anos,F,Parda,1,cursando,0,Pública,Araruna,PB,,,,,1,,,C,C,A,A,4.0,B,B,C,A,C,B,D,A,A
902123,2021,Entre 46 e 50 anos,M,Parda,1,concluiu,12,Não respondeu,Natal,RN,424.5,,,437.2,1,,,C,C,B,C,3.0,D,B,C,B,A,B,D,B,B
902983,2021,19 anos,F,Preta,1,concluiu,2,Não respondeu,Rosana,SP,,,,,0,,,G,G,D,D,3.0,H,D,D,B,A,B,D,C,B
903913,2021,18 anos,F,Parda,1,cursando,0,Pública,Valença do Piauí,PI,,,,,1,,,A,A,A,A,3.0,B,B,C,A,A,B,C,A,A
904871,2021,18 anos,F,Parda,1,cursando,0,Pública,Canarana,BA,,,,,1,,,H,D,F,A,5.0,A,B,C,A,A,B,C,A,A
904993,2021,18 anos,M,Parda,1,concluiu,1,Não respondeu,Lagoa Grande,PE,,,,,0,,,C,F,A,B,4.0,D,C,D,A,B,B,E,B,B
905324,2021,17 anos,F,Parda,1,cursando,0,Pública,Vila Velha,ES,,,,,1,,,E,E,C,B,6.0,C,B,E,B,A,B,E,B,B
905501,2021,22 anos,F,Parda,1,concluiu,3,Não respondeu,Guanhães,MG,,,,,0,,,B,B,A,A,2.0,B,B,B,A,A,B,A,A,A
905878,2021,18 anos,F,Parda,1,cursando,0,Pública,Irecê,BA,,,,,1,,,B,B,C,B,4.0,B,B,C,A,A,B,C,A,B
