,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
348,2019,18 anos,F,Parda,1,cursando,Pública,Granja,CE,,,,,1,,,C,C,A,A,4,A,B,B,A,A,B,A,A,A
772,2019,Entre 36 e 40 anos,F,Parda,1,concluiu,Não respondeu,Apucarana,PR,,,,,1,,,A,B,A,B,4,B,B,C,A,A,B,C,A,A
2269,2019,21 anos,F,Branca,1,concluiu,Não respondeu,João Neiva,ES,,,,,1,,,E,E,C,B,2,C,B,C,A,A,B,C,A,A
2850,2019,18 anos,M,Branca,1,concluiu,Não respondeu,Uberlândia,MG,,,,,0,,,D,D,B,B,4,C,B,C,B,A,B,B,B,B
3251,2019,18 anos,M,Branca,1,cursando,Pública,Natal,RN,,,,,1,,,E,B,B,B,5,D,C,D,B,A,B,D,B,B
3601,2019,18 anos,M,Branca,1,cursando,Pública,Teófilo Otoni,MG,,,,,0,,,E,E,D,B,4,E,B,C,A,B,B,E,C,B
3903,2019,19 anos,F,Branca,1,concluiu,Não respondeu,Campinas,SP,,,,,0,,,E,F,D,D,4,F,B,C,B,B,B,E,B,B
4661,2019,21 anos,M,Parda,1,concluiu,Não respondeu,Santo Antônio de Jesus,BA,,,,,1,,,B,E,A,A,1,B,B,B,A,A,B,A,A,A
6778,2019,20 anos,F,Branca,1,concluiu,Não respondeu,Casimiro de Abreu,RJ,,,,,0,,,C,E,C,B,4,C,C,D,B,A,B,D,B,B
7991,2019,25 anos,F,Preta,1,concluiu,Não respondeu,Maceió,AL,,,,,0,,,H,D,B,C,2,B,B,C,A,A,B,B,A,A
10935,2019,Entre 51 e 55 anos,M,Parda,1,concluiu,Não respondeu,Abreu e Lima,PE,,,,,0,,,A,A,A,A,3,D,B,C,A,B,B,E,B,B
11743,2019,20 anos,F,Preta,1,concluiu,Não respondeu,Rio Largo,AL,,,,,1,,,D,A,C,A,3,B,B,C,A,A,B,B,A,A
13590,2019,19 anos,F,Branca,1,concluiu,Não respondeu,Fortaleza,CE,,,,,0,,,E,E,B,B,3,F,B,D,B,A,B,D,D,B
14022,2019,Menor de 17 anos,F,Amarela,1,cursando,Não respondeu,Blumenau,SC,,,,,1,,,C,E,F,B,3,E,B,C,B,A,B,D,C,B
14108,2019,19 anos,M,Parda,1,cursando,Pública,Horizonte,CE,,,,,0,,,E,D,B,A,4,B,B,C,A,A,B,B,A,B
17341,2019,Entre 41 e 45 anos,M,Parda,1,concluiu,Não respondeu,Santos,SP,,,,,1,,,H,H,F,F,2,G,B,C,A,A,B,B,A,B
17514,2019,17 anos,F,Preta,1,cursando,Pública,Marília,SP,,,,,0,,,H,D,F,B,4,B,B,C,A,A,B,B,A,B
19834,2019,22 anos,M,Preta,1,concluiu,Não respondeu,Duque de Caxias,RJ,,,,,1,,,E,E,C,C,3,B,B,B,A,A,B,B,A,B
21346,2019,18 anos,F,Branca,1,concluiu,Não respondeu,Várzea Paulista,SP,,,,,0,,,H,E,F,D,3,E,C,C,B,A,B,B,B,B
23102,2019,18 anos,F,Parda,1,cursando,Pública,Pinhais,PR,,,,,0,,,H,D,F,F,3,E,B,C,A,A,B,C,A,B
30665,2019,20 anos,M,Preta,1,concluiu,Não respondeu,Rio de Janeiro,RJ,651.2,,,489.7,0,,,F,F,D,D,4,O,C,C,B,B,B,D,E,B
30680,2019,23 anos,F,Preta,1,concluiu,Não respondeu,Brasília,DF,,,,,1,,,B,B,A,B,2,B,B,C,A,A,B,C,B,B
33068,2019,24 anos,M,Preta,1,concluiu,Não respondeu,Teresina,PI,,,,,0,,,H,B,C,B,4,B,B,D,A,A,B,C,B,A
33561,2019,20 anos,F,Preta,1,concluiu,Não respondeu,Campos dos Goytacazes,RJ,,,,,0,,,B,C,B,B,4,B,B,C,A,A,B,D,B,B
35026,2019,25 anos,M,Branca,1,concluiu,Não respondeu,Manaus,AM,,,,,1,,,D,E,B,C,2,C,B,B,A,A,B,C,A,B
40145,2019,18 anos,F,Branca,1,concluiu,Não respondeu,Londrina,PR,,,,,1,,,E,E,D,B,5,C,C,D,A,A,B,D,C,B
41997,2019,19 anos,F,Parda,1,concluiu,Não respondeu,Contagem,MG,,,,,1,,,F,E,D,B,3,E,B,C,B,A,B,D,B,B
44823,2019,19 anos,M,Parda,2,concluiu,Não respondeu,Açailândia,MA,,,,,0,,,E,B,B,B,4,A,B,C,A,A,B,C,A,A
46596,2019,20 anos,F,Parda,1,concluiu,Não respondeu,Ipojuca,PE,,,,,1,,,E,B,B,B,2,B,B,B,A,A,B,B,A,B
46898,2019,17 anos,F,Branca,1,cursando,Pública,Ribeirão Pires,SP,,,,,0,,,D,G,C,D,3,G,C,C,B,A,B,D,C,B
48627,2019,24 anos,F,Preta,1,concluiu,Não respondeu,Itabuna,BA,,,,,0,,,C,E,C,C,3,C,B,C,A,A,B,C,B,B
56843,2019,18 anos,F,Branca,1,concluiu,Não respondeu,São Paulo,SP,,,,,0,,,E,E,B,D,4,H,C,D,C,A,C,D,B,B
57555,2019,20 anos,F,Branca,1,concluiu,Não respondeu,Jaraguá do Sul,SC,,,,,0,,,H,F,C,B,3,G,B,D,B,A,B,D,B,B
58411,2019,Entre 46 e 50 anos,F,Preta,1,concluiu,Não respondeu,Ananindeua,PA,378.2,,,363.3,1,,,E,H,F,F,5,C,C,B,A,A,B,C,A,B
58576,2019,Entre 26 e 30 anos,M,Preta,1,concluiu,Não respondeu,Porto Nacional,TO,,,,,0,,,C,D,B,F,3,C,B,C,A,A,B,C,A,A
61225,2019,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Vitória da Conquista,BA,,,,,1,,,A,D,A,B,5,B,B,D,A,A,B,B,A,B
62125,2019,Entre 26 e 30 anos,F,Preta,0,concluiu,Não respondeu,Imperatriz,MA,,,,,0,,,B,C,A,A,2,B,B,C,A,A,B,C,A,B
63734,2019,21 anos,F,Parda,1,concluiu,Não respondeu,Paranaguá,PR,,,,,1,,,F,C,D,B,1,D,B,C,A,B,A,B,A,A
63944,2019,19 anos,M,Parda,1,cursando,Não respondeu,Fortaleza,CE,,,,,1,,,D,D,C,B,2,B,B,B,A,A,B,B,A,B
64771,2019,Entre 46 e 50 anos,M,Parda,1,concluiu,Não respondeu,Corumbá,MS,,,,,1,,,C,C,C,F,5,H,B,C,B,A,B,B,B,B
65467,2019,20 anos,F,Parda,1,cursando,Pública,Itaqui,RS,,,,,1,,,B,C,A,B,2,C,B,C,A,A,B,B,A,A
66003,2019,18 anos,M,Branca,1,concluiu,Não respondeu,Belo Horizonte,MG,,,,,1,,,C,E,C,F,4,E,B,C,A,B,B,D,B,B
67285,2019,17 anos,M,Parda,1,cursando,Pública,Bacabal,MA,,,,,0,,,E,E,B,B,5,B,B,D,A,A,B,E,A,B
68220,2019,18 anos,F,Branca,1,cursando,Pública,Imperatriz,MA,,,,,1,,,E,E,B,B,4,C,C,C,A,B,B,D,A,A
70160,2019,18 anos,M,Parda,1,concluiu,Não respondeu,Goiânia,GO,,,,,1,,,D,B,B,B,4,C,B,C,B,A,B,A,B,B
71530,2019,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Goiânia,GO,,,,,1,,,C,C,D,B,3,C,B,B,A,A,B,D,B,B
73150,2019,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Ribeirão Preto,SP,,,,,1,,,B,B,A,B,4,E,B,C,A,B,B,C,A,B
74229,2019,20 anos,F,Parda,1,concluiu,Não respondeu,Bauru,SP,,,,,1,,,H,B,F,B,3,C,B,C,A,A,B,B,A,B
75691,2019,25 anos,F,Branca,1,concluiu,Não respondeu,Santa Maria,RS,,,,,0,,,B,B,B,B,2,C,C,D,A,A,B,C,B,B
78264,2019,Entre 26 e 30 anos,F,Branca,1,concluiu,Não respondeu,Várzea Paulista,SP,,,,,0,,,E,E,C,C,4,E,B,D,B,A,B,D,B,B
82129,2019,23 anos,M,Branca,1,concluiu,Não respondeu,Campo Grande,MS,,,,,0,,,D,E,B,B,1,B,B,B,A,A,B,B,B,B
83141,2019,Entre 26 e 30 anos,M,Amarela,1,concluiu,Não respondeu,Duque de Caxias,RJ,,,,,0,,,H,D,F,B,1,A,B,B,A,A,B,B,A,B
83691,2019,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,Guarujá,SP,,,,,1,,,B,B,C,B,4,C,B,B,B,A,B,C,B,B
86565,2019,Entre 46 e 50 anos,M,Parda,1,concluiu,Não respondeu,Belém,PA,,,,,1,,,H,B,A,B,6,C,B,B,A,A,B,B,A,A
88989,2019,19 anos,F,Branca,1,concluiu,Não respondeu,Sidrolândia,MS,,,,,0,,,E,E,C,F,4,E,B,D,A,B,B,E,A,B
89099,2019,Entre 26 e 30 anos,F,Preta,1,concluiu,Não respondeu,Floriano,PI,,,,,1,,,C,B,C,A,4,B,B,D,A,A,B,D,A,A
92961,2019,17 anos,M,Branca,0,cursando,Pública,Carutapera,MA,,,,,0,,,D,G,D,D,4,H,B,C,B,A,B,B,B,B
95153,2019,21 anos,F,Branca,1,concluiu,Não respondeu,Campo Limpo Paulista,SP,,,,,0,,,E,E,F,B,2,C,B,B,B,B,B,C,B,B
96846,2019,21 anos,M,Branca,1,concluiu,Não respondeu,Timóteo,MG,,,,,0,,,B,B,C,B,5,G,B,D,B,B,B,E,A,A
98096,2019,19 anos,F,Parda,1,concluiu,Não respondeu,Parauapebas,PA,,,,,0,,,F,F,D,D,4,I,C,D,B,A,B,E,E,B
98221,2019,22 anos,M,Branca,1,concluiu,Não respondeu,Uberlândia,MG,,,,,1,,,F,F,E,C,4,C,C,D,B,A,B,D,C,B
99624,2019,20 anos,F,Branca,1,concluiu,Não respondeu,Mairiporã,SP,,,,,1,,,E,C,B,B,2,C,B,B,A,A,B,C,A,B
100935,2019,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Porto Velho,RO,,,,,0,,,B,B,A,A,2,B,B,C,A,A,B,B,B,A
101429,2019,25 anos,F,Parda,1,concluiu,Não respondeu,Águas Lindas de Goiás,GO,,,,,1,,,C,B,A,B,4,C,B,D,A,A,B,D,A,B
101515,2019,19 anos,M,Branca,1,cursando,Pública,Vila Velha,ES,,,,,0,,,D,D,C,B,2,A,B,B,A,A,B,C,A,A
106873,2019,18 anos,M,Parda,1,cursando,Pública,Belo Horizonte,MG,,,,,0,,,E,E,F,B,4,G,B,C,B,A,B,D,B,B
107910,2019,Entre 26 e 30 anos,M,Parda,1,concluiu,Não respondeu,Sobral,CE,,,,,1,,,C,C,B,B,5,B,C,D,A,B,B,B,A,B
108524,2019,17 anos,F,Parda,1,cursando,Pública,Solânea,PB,,,,,0,,,D,F,C,D,5,C,C,D,B,A,B,B,A,B
111525,2019,19 anos,F,Parda,1,concluiu,Não respondeu,Várzea Grande,MT,,,,,1,,,B,B,B,B,3,B,B,C,A,A,B,D,A,A
113293,2019,19 anos,M,Parda,1,cursando,Pública,São Bento,PB,,,,,1,,,E,D,A,A,4,C,B,C,B,B,B,D,A,A
116273,2019,17 anos,M,Parda,1,cursando,Não respondeu,Ananindeua,PA,,,,,0,,,H,E,F,D,2,B,B,C,A,A,B,D,A,B
116873,2019,23 anos,M,Parda,1,concluiu,Não respondeu,Paço do Lumiar,MA,,,,,0,,,D,E,D,B,4,E,B,C,A,A,B,E,B,A
117509,2019,Entre 26 e 30 anos,M,Branca,1,concluiu,Não respondeu,Natal,RN,,,,,0,,,D,G,B,D,4,N,C,D,B,A,B,E,C,B
119458,2019,18 anos,M,Preta,1,cursando,Pública,Águas Lindas de Goiás,GO,,,,,1,,,D,B,C,B,4,E,A,D,B,A,B,E,B,B
120149,2019,19 anos,M,Preta,2,concluiu,Não respondeu,Camacan,BA,,,,,0,,,B,C,C,B,2,B,B,B,A,A,B,B,A,A
120586,2019,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,Vila Velha,ES,,,,,1,,,B,B,A,A,4,C,B,C,A,A,B,C,B,B
121283,2019,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Curitiba,PR,,,,,0,,,F,F,E,D,4,Q,E,D,C,A,D,E,E,B
