,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
122026,2019,Entre 26 e 30 anos,F,Branca,1,concluiu,Não respondeu,Goiânia,GO,,,,,1,,,C,C,B,B,2,C,B,B,A,A,B,B,B,B
123417,2019,17 anos,F,Parda,1,cursando,Pública,Cachoeira Paulista,SP,,,,,0,,,D,E,C,B,4,C,C,D,B,A,B,E,A,B
124794,2019,17 anos,M,Parda,1,cursando,Pública,Macapá,AP,,,,,1,,,B,E,A,A,8,B,B,A,A,A,B,B,A,A
126521,2019,19 anos,F,Branca,1,concluiu,Não respondeu,Rio do Sul,SC,,,,,0,,,C,E,D,D,4,J,D,D,C,A,B,D,C,B
130633,2019,18 anos,M,Parda,1,cursando,Pública,Açailândia,MA,,,,,0,,,B,B,A,A,3,B,B,C,A,A,B,B,A,A
131935,2019,21 anos,F,Branca,2,concluiu,Não respondeu,Palmares,PE,,,,,1,,,B,B,A,A,3,A,B,B,A,A,B,B,A,B
133012,2019,19 anos,F,Parda,1,concluiu,Não respondeu,São Luís,MA,,,,,1,,,E,G,D,D,2,B,B,C,A,A,B,C,A,B
133490,2019,22 anos,M,Parda,1,cursando,Pública,Icapuí,CE,428.4,,,450.8,1,,,H,H,F,F,4,B,C,D,A,A,B,D,A,B
134432,2019,19 anos,F,Parda,1,cursando,Pública,Valença do Piauí,PI,,,,,1,,,H,H,A,A,2,B,B,C,A,A,B,C,A,A
134626,2019,18 anos,F,Branca,1,concluiu,Não respondeu,Palmeira,PR,,,,,1,,,G,D,E,C,3,B,B,D,A,A,B,D,B,B
134795,2019,20 anos,M,Parda,1,cursando,Pública,Manaus,AM,,,,,1,,,F,F,E,B,9,C,E,D,B,B,C,E,B,B
139122,2019,24 anos,F,Branca,1,concluiu,Não respondeu,Campos Gerais,MG,,,,,1,,,B,E,C,C,5,F,B,D,A,B,B,C,B,B
139732,2019,19 anos,F,Parda,1,concluiu,Não respondeu,Nova Iguaçu,RJ,,,,,0,,,E,E,D,B,3,D,B,C,A,A,B,C,B,B
142857,2019,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,Manaus,AM,,,,,0,,,E,E,B,B,4,C,B,C,A,A,B,C,A,B
143292,2019,Entre 26 e 30 anos,F,Branca,1,concluiu,Não respondeu,Imbituba,SC,,,,,0,,,B,B,A,A,5,E,B,E,A,A,B,C,A,B
143438,2019,21 anos,F,Parda,1,concluiu,Não respondeu,Barreiros,PE,,,,,1,,,D,E,B,B,5,B,B,C,A,A,B,D,A,B
143454,2019,Menor de 17 anos,M,Branca,2,cursando,Não respondeu,Uberaba,MG,519.9,,,635.0,0,,,F,F,D,D,3,E,C,C,A,A,B,C,B,B
144382,2019,22 anos,M,Parda,1,concluiu,Não respondeu,Quissamã,RJ,,,,,0,,,H,E,C,B,4,C,B,C,A,A,B,D,A,B
144876,2019,Entre 41 e 45 anos,F,Parda,1,concluiu,Não respondeu,Paranavaí,PR,449.4,,,378.9,1,,,A,A,A,A,4,C,C,D,A,B,B,B,B,B
146288,2019,20 anos,F,Parda,1,concluiu,Não respondeu,Atalaia,AL,,,,,1,,,D,F,D,D,4,E,B,D,B,A,B,D,B,B
148622,2019,18 anos,M,Branca,1,concluiu,Não respondeu,Londrina,PR,,,,,0,,,G,E,D,D,4,H,C,D,B,A,B,E,B,B
149346,2019,19 anos,F,Branca,1,concluiu,Não respondeu,Tramandaí,RS,,,,,1,,,E,E,F,C,3,C,B,D,A,A,B,D,B,B
152015,2019,19 anos,F,Branca,1,cursando,Pública,Campinas,SP,,,,,0,,,D,E,D,C,6,G,C,D,B,A,C,E,A,B
152652,2019,22 anos,F,Parda,1,concluiu,Não respondeu,Boa Vista,RR,,,,,0,,,F,E,D,D,3,H,C,C,B,A,B,D,C,B
153597,2019,18 anos,M,Branca,1,concluiu,Não respondeu,Imperatriz,MA,,,,,1,,,G,G,E,E,4,J,D,D,C,A,B,D,B,B
153790,2019,23 anos,F,Parda,1,concluiu,Não respondeu,Cachoeiro de Itapemirim,ES,,,,,1,,,E,B,C,C,8,G,C,D,A,B,B,D,B,B
154917,2019,20 anos,M,Parda,1,cursando,Pública,Salvador,BA,,,,,0,,,E,E,B,B,4,F,B,C,A,A,B,E,B,B
155816,2019,17 anos,F,Branca,1,cursando,Pública,Duque de Caxias,RJ,,,,,0,,,E,C,B,B,5,E,B,C,A,A,B,C,A,B
157767,2019,19 anos,F,Preta,1,concluiu,Não respondeu,Brasília,DF,,,,,1,,,D,B,C,B,3,B,B,C,B,A,B,C,B,B
158344,2019,19 anos,M,Branca,1,concluiu,Não respondeu,São Sebastião do Paraíso,MG,,,,,0,,,D,F,D,D,4,H,B,C,B,A,B,D,B,B
159776,2019,20 anos,M,Parda,1,concluiu,Não respondeu,Araguaína,TO,,,,,0,,,E,E,B,B,7,D,B,D,A,B,B,E,B,B
159870,2019,18 anos,F,Parda,2,cursando,Pública,Balneário Camboriú,SC,,,,,0,,,C,D,D,D,3,G,B,D,B,A,B,D,B,B
161325,2019,Entre 56 e 60 anos,F,Parda,1,concluiu,Não respondeu,Mesquita,RJ,395.8,,,359.1,1,,,B,B,C,C,2,C,B,B,A,A,B,B,B,B
162310,2019,19 anos,M,Branca,2,concluiu,Não respondeu,Caicó,RN,,,,,0,,,E,F,B,D,3,B,C,D,B,A,B,C,C,B
162588,2019,22 anos,M,Branca,1,concluiu,Não respondeu,Caetés,PE,,,,,0,,,B,B,A,A,5,B,B,D,A,A,B,D,A,B
163817,2019,18 anos,F,Branca,1,concluiu,Não respondeu,Manhuaçu,MG,,,,,0,,,E,E,C,D,2,C,B,C,A,B,B,C,B,B
174016,2019,20 anos,M,Parda,1,concluiu,Não respondeu,Campo Novo do Parecis,MT,,,,,1,,,E,E,C,D,5,J,B,D,B,C,B,E,C,B
174753,2019,17 anos,F,Branca,2,cursando,Pública,Indaiatuba,SP,,,,,0,,,D,E,D,D,5,K,C,D,B,A,B,E,A,A
177112,2019,20 anos,F,Não declarado,1,concluiu,Não respondeu,Cachoeirinha,RS,,,,,1,,,D,D,C,B,2,C,B,B,A,A,B,C,A,B
180240,2019,Entre 31 e 35 anos,M,Preta,1,concluiu,Não respondeu,Paraguaçu Paulista,SP,401.9,,,424.6,1,,,H,B,F,B,6,D,B,C,B,A,B,B,A,B
183024,2019,18 anos,F,Branca,1,cursando,Privada,Duque de Caxias,RJ,,,,,0,,,F,E,D,B,4,I,C,C,B,A,C,E,B,B
183905,2019,17 anos,F,Branca,1,cursando,Pública,Presidente Prudente,SP,477.9,,,375.0,1,,,E,E,C,B,4,H,B,D,B,A,B,D,A,B
184582,2019,19 anos,F,Parda,1,concluiu,Não respondeu,Olinda,PE,,,,,0,,,F,F,E,D,3,N,D,D,B,A,B,E,B,B
185015,2019,19 anos,M,Branca,1,concluiu,Não respondeu,Belém,PA,,,,,0,,,H,H,F,D,2,E,C,C,A,A,B,C,A,B
185249,2019,20 anos,F,Parda,1,concluiu,Não respondeu,Juazeiro,BA,,,,,1,,,E,E,B,B,4,B,C,D,B,A,B,D,B,B
188559,2019,22 anos,M,Parda,1,concluiu,Não respondeu,Brasília,DF,,,,,0,,,H,E,F,B,2,C,C,D,A,A,B,C,B,B
190093,2019,17 anos,M,Parda,1,cursando,Pública,São Sebastião do Passé,BA,438.2,,,387.2,1,,,F,E,C,F,4,B,B,C,A,A,B,B,A,A
191275,2019,Entre 36 e 40 anos,F,Parda,1,concluiu,Não respondeu,Manaus,AM,,,,,1,,,A,C,A,A,3,C,C,C,A,A,B,C,A,B
191561,2019,Entre 46 e 50 anos,M,Parda,1,concluiu,Não respondeu,São Paulo,SP,,,,,1,,,A,E,B,B,3,E,B,C,B,A,B,D,B,B
193212,2019,18 anos,F,Parda,1,concluiu,Não respondeu,Rolândia,PR,,,,,0,,,D,D,F,B,4,B,B,C,A,A,B,C,B,B
194881,2019,17 anos,F,Parda,1,cursando,Pública,Açailândia,MA,,,,,1,,,C,D,C,A,4,B,B,C,A,A,A,D,A,A
195364,2019,18 anos,F,Parda,1,concluiu,Não respondeu,Recife,PE,,,,,1,,,C,D,B,B,5,C,B,C,A,A,B,D,B,B
195648,2019,18 anos,F,Branca,1,cursando,Pública,Palhoça,SC,,,,,0,,,B,G,C,D,5,G,C,D,B,A,B,D,C,B
196561,2019,22 anos,M,Branca,1,concluiu,Não respondeu,Canoas,RS,,,,,1,,,H,B,F,F,6,E,B,C,A,B,B,E,A,B
198605,2019,19 anos,F,Parda,1,concluiu,Não respondeu,Brasília,DF,,,,,1,,,H,G,B,D,2,E,B,C,A,B,B,C,B,B
200352,2019,Entre 41 e 45 anos,M,Parda,1,concluiu,Não respondeu,Natal,RN,,,,,0,,,D,E,C,C,3,C,B,B,A,A,B,C,B,B
204268,2019,Entre 36 e 40 anos,M,Parda,1,concluiu,Não respondeu,Francisco Morato,SP,,,,,1,,,C,D,C,F,5,C,B,B,A,A,B,B,A,A
204491,2019,22 anos,F,Branca,1,concluiu,Não respondeu,Coronel Fabriciano,MG,,,,,0,,,B,D,A,B,2,C,B,D,A,B,B,C,B,B
205779,2019,24 anos,F,Parda,1,concluiu,Não respondeu,Princesa Isabel,PB,,,,,1,,,A,A,A,A,2,A,B,C,A,A,B,B,A,A
207655,2019,18 anos,M,Preta,1,cursando,Pública,Glória do Goitá,PE,,,,,1,,,B,B,C,B,2,B,B,C,A,A,B,B,A,A
208025,2019,19 anos,F,Parda,1,concluiu,Não respondeu,Vila Velha,ES,,,,,0,,,C,E,D,B,2,A,B,C,A,A,B,C,B,B
208688,2019,22 anos,F,Branca,1,concluiu,Não respondeu,Canguaretama,RN,,,,,1,,,E,E,B,B,6,C,C,E,B,B,B,E,B,B
209210,2019,21 anos,F,Branca,1,concluiu,Não respondeu,Aparecida de Goiânia,GO,,,,,0,,,E,E,B,B,4,E,D,C,C,A,B,E,B,B
210590,2019,18 anos,M,Parda,1,concluiu,Não respondeu,Pojuca,BA,,,,,0,,,C,C,C,B,4,D,B,D,B,B,B,D,A,B
211171,2019,17 anos,F,Parda,2,cursando,Pública,Foz do Iguaçu,PR,,,,,0,,,E,E,B,B,3,D,B,D,B,B,B,D,A,B
212634,2019,17 anos,F,Parda,1,cursando,Pública,Currais Novos,RN,,,,,1,,,F,G,D,D,3,G,B,D,B,B,B,D,C,B
212841,2019,Menor de 17 anos,M,Branca,2,cursando,Não respondeu,Uberlândia,MG,498.6,,,429.1,0,,,C,C,C,B,3,C,B,C,B,A,B,D,B,B
213384,2019,Entre 41 e 45 anos,M,Parda,1,concluiu,Não respondeu,Brasília,DF,686.5,,,795.2,0,,,C,C,D,D,3,O,B,C,B,A,B,C,C,B
215135,2019,24 anos,M,Branca,1,concluiu,Não respondeu,Ribeirão Preto,SP,,,,,1,,,E,E,D,B,2,C,B,C,A,A,B,C,A,B
215416,2019,18 anos,F,Branca,1,cursando,Pública,Ibiporã,PR,,,,,1,,,E,E,B,B,4,C,B,D,A,A,B,B,B,B
215897,2019,Entre 41 e 45 anos,M,Branca,1,concluiu,Não respondeu,Jequié,BA,,,,,0,,,E,F,D,D,3,N,C,C,B,A,B,C,C,B
215962,2019,Entre 36 e 40 anos,F,Parda,1,concluiu,Não respondeu,Fortaleza,CE,,,,,1,,,E,C,F,E,2,C,B,C,A,A,B,B,A,B
217332,2019,22 anos,M,Branca,1,concluiu,Não respondeu,Lorena,SP,,,,,0,,,D,E,B,C,3,C,B,C,B,A,B,C,B,B
217380,2019,24 anos,F,Preta,1,concluiu,Não respondeu,Uberlândia,MG,,,,,1,,,F,E,D,B,5,I,B,C,B,A,B,E,B,B
220816,2019,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,Goiânia,GO,527.3,,,598.0,0,,,E,D,D,F,3,E,B,C,B,A,B,C,B,B
221264,2019,19 anos,F,Branca,1,cursando,Pública,Natal,RN,,,,,0,,,H,G,D,D,2,B,B,C,A,A,B,C,B,B
224455,2019,18 anos,M,Branca,2,concluiu,Não respondeu,São Gonçalo do Amarante,CE,,,,,0,,,C,D,A,A,4,B,B,D,A,A,B,B,A,A
226387,2019,19 anos,F,Branca,1,concluiu,Não respondeu,Astorga,PR,,,,,1,,,E,E,B,B,3,C,B,C,A,A,B,B,B,B
227866,2019,18 anos,M,Branca,1,cursando,Pública,Pontes e Lacerda,MT,,,,,0,,,E,D,C,C,4,C,B,C,A,A,B,D,B,B
228652,2019,23 anos,M,Preta,1,concluiu,Não respondeu,Maceió,AL,,,,,0,,,E,C,B,B,4,F,C,D,A,B,B,E,B,B
230239,2019,17 anos,F,Branca,1,cursando,Pública,Taquaritinga,SP,,,,,0,,,F,E,E,E,4,F,D,D,C,A,C,E,B,B
231026,2019,18 anos,F,Branca,1,concluiu,Não respondeu,Maracaçumé,MA,,,,,0,,,F,E,D,C,5,D,B,C,A,B,B,C,B,B
232409,2019,22 anos,F,Branca,1,concluiu,Não respondeu,João Pessoa,PB,,,,,0,,,G,G,D,D,1,C,B,B,A,A,B,B,B,B
233361,2019,23 anos,F,Parda,1,concluiu,Não respondeu,Santarém,PA,,,,,1,,,B,E,B,F,3,F,C,C,B,B,B,C,A,A
236037,2019,Entre 26 e 30 anos,M,Branca,1,concluiu,Não respondeu,Canguaretama,RN,,,,,0,,,E,D,D,D,6,C,C,D,B,B,B,E,B,B
239260,2019,23 anos,M,Parda,1,concluiu,Não respondeu,Belém,PA,,,,,1,,,C,C,B,B,5,C,B,D,A,A,B,C,B,B
245263,2019,17 anos,M,Parda,1,cursando,Pública,Catu,BA,,,,,0,,,B,E,F,B,2,B,B,C,A,A,B,C,A,B
246254,2019,25 anos,F,Branca,1,concluiu,Não respondeu,Além Paraíba,MG,,,,,1,,,E,E,B,B,7,C,B,D,A,A,B,C,A,A
247701,2019,17 anos,F,Branca,1,cursando,Pública,Presidente Prudente,SP,,,,,1,,,E,F,D,D,4,G,B,C,B,A,B,D,B,B
249174,2019,Entre 36 e 40 anos,M,Parda,1,concluiu,Não respondeu,Nova Iguaçu,RJ,,,,,1,,,B,E,F,F,1,C,B,A,A,A,B,B,B,B
252351,2019,19 anos,M,Preta,1,concluiu,Não respondeu,Manaus,AM,,,,,0,,,E,E,B,B,4,B,B,B,A,A,B,C,A,A
253173,2019,19 anos,F,Branca,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,H,C,B,B,2,B,B,B,A,A,B,C,A,A
254294,2019,20 anos,F,Parda,1,cursando,Pública,Salvador,BA,,,,,0,,,D,B,B,B,6,C,B,B,A,B,B,D,A,B
