,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
1124,2020,18 anos,M,Branca,1,cursando,Pública,Belo Horizonte,MG,,,,,0,,,D,D,C,C,3.0,B,C,C,B,A,B,D,C,B
4274,2020,21 anos,F,Parda,1,concluiu,Não respondeu,João Pessoa,PB,,,,,1,,,,,,,,,,,,,,,,
5330,2020,17 anos,F,Parda,1,cursando,Pública,São José dos Campos,SP,,,,,0,,,,,,,,,,,,,,,,
6526,2020,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,São Paulo,SP,,,,,1,,,A,B,F,F,3.0,C,B,C,A,A,B,C,A,B
8117,2020,23 anos,F,Branca,1,concluiu,Não respondeu,João Pessoa,PB,,,,,1,,,F,C,D,D,3.0,B,B,B,A,A,B,C,B,B
9427,2020,17 anos,F,Branca,1,cursando,Pública,Campina Grande,PB,,,,,0,,,D,E,D,B,4.0,B,B,C,B,A,B,D,B,B
11422,2020,25 anos,M,Branca,1,concluiu,Não respondeu,Araçatuba,SP,,,,,0,,,E,E,F,C,2.0,D,C,C,B,B,B,C,B,B
13544,2020,17 anos,F,Parda,1,cursando,Não respondeu,Lagarto,SE,,,,,0,,,B,B,A,A,3.0,B,B,C,A,A,B,B,A,B
18072,2020,Entre 31 e 35 anos,M,Preta,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,D,E,B,F,1.0,B,B,C,A,A,B,B,B,B
18748,2020,Entre 51 e 55 anos,F,Parda,2,concluiu,Não respondeu,Cruz das Almas,BA,,,,,1,,,A,A,C,B,9.0,A,B,B,A,A,B,A,A,A
23303,2020,18 anos,F,Parda,1,cursando,Pública,Maringá,PR,,,,,0,,,B,C,C,C,4.0,B,B,C,A,A,B,D,A,B
23353,2020,20 anos,M,Branca,1,concluiu,Não respondeu,Belém,PA,,,,,0,,,E,B,C,C,3.0,B,B,C,A,A,B,A,A,B
29798,2020,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Santa Izabel do Pará,PA,,,,,1,,,D,F,C,D,4.0,F,B,D,A,B,B,D,A,B
32306,2020,19 anos,F,Amarela,1,cursando,Pública,Campos Sales,CE,,,,,1,,,D,D,A,A,4.0,A,B,A,A,A,B,B,A,A
33333,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Campo Grande,MS,,,,,1,,,,,,,,,,,,,,,,
33450,2020,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Aparecida de Goiânia,GO,,,,,1,,,A,E,C,D,3.0,B,C,C,B,A,B,D,B,B
33935,2020,19 anos,M,Parda,1,concluiu,Não respondeu,João Pessoa,PB,,,,,0,,,D,E,D,B,3.0,B,C,C,A,A,B,C,B,A
34538,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Itapajé,CE,,,,,1,,,A,A,A,B,5.0,C,B,D,A,A,B,C,A,B
37327,2020,17 anos,F,Branca,1,cursando,Não respondeu,Itaituba,PA,,,,,0,,,C,G,B,D,4.0,F,B,C,A,B,B,E,B,B
37654,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Belo Horizonte,MG,,,,,1,,,D,D,B,B,3.0,B,B,C,A,B,B,C,A,A
37769,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Juiz de Fora,MG,,,,,0,,,D,E,C,C,3.0,D,B,D,A,A,B,D,A,B
38691,2020,20 anos,M,Parda,1,cursando,Pública,João Pessoa,PB,,,,,0,,,B,D,A,B,2.0,B,B,C,A,A,B,C,C,B
41446,2020,25 anos,F,Parda,1,concluiu,Não respondeu,Crato,CE,,,,,1,,,H,E,F,B,2.0,A,B,C,A,A,B,B,A,B
41819,2020,17 anos,F,Parda,1,cursando,Não respondeu,São Paulo,SP,,,,,0,,,G,F,D,D,3.0,N,B,C,B,A,B,D,B,B
42555,2020,18 anos,F,Parda,1,cursando,Pública,Presidente Dutra,BA,,,,,0,,,C,E,D,D,4.0,B,B,C,A,A,A,A,A,A
42614,2020,18 anos,M,Parda,1,cursando,Pública,Mirassol,SP,,,,,1,,,F,E,F,A,2.0,F,D,D,B,B,B,C,B,B
44576,2020,17 anos,F,Parda,1,cursando,Pública,Colinas do Tocantins,TO,,,,,0,,,C,E,C,D,3.0,B,B,C,A,B,B,D,A,B
46532,2020,20 anos,F,Indígena,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,H,D,F,B,3.0,A,B,B,A,A,B,B,A,B
47852,2020,17 anos,F,Parda,1,cursando,Privada,Ananindeua,PA,,,,,1,,,D,E,B,D,9.0,B,B,C,A,A,B,B,A,A
49110,2020,22 anos,F,Preta,1,concluiu,Não respondeu,Areia Branca,RN,,,,,1,,,B,C,F,B,3.0,A,B,C,A,A,B,C,A,A
50228,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Montes Claros,MG,,,,,1,,,H,D,A,A,4.0,F,B,D,B,B,B,E,B,B
50768,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Sobral,CE,,,,,0,,,C,D,B,B,4.0,B,B,E,A,B,B,E,B,B
52387,2020,21 anos,M,Branca,1,concluiu,Não respondeu,Vinhedo,SP,,,,,1,,,E,D,F,B,2.0,E,B,C,A,A,B,C,B,B
53081,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Belo Horizonte,MG,,,,,1,,,H,A,F,A,3.0,D,B,C,A,A,B,B,A,A
56169,2020,25 anos,F,Preta,1,concluiu,Não respondeu,Castanhal,PA,,,,,1,,,D,E,C,B,3.0,C,B,B,A,A,B,C,A,B
57202,2020,23 anos,M,Branca,1,concluiu,Não respondeu,Fortaleza,CE,,,,,1,,,H,E,F,C,4.0,C,B,C,A,A,B,D,A,B
57395,2020,Menor de 17 anos,M,Branca,1,cursando,Privada,Patos,PB,,,,,0,,,F,F,D,D,4.0,E,D,D,B,C,B,D,C,B
59205,2020,19 anos,F,Parda,1,cursando,Pública,Santa Cruz,RN,,,,,1,,,E,C,A,B,5.0,B,B,C,A,B,B,B,B,B
60734,2020,18 anos,M,Parda,1,cursando,Pública,Itaperuna,RJ,,,,,0,,,F,E,D,B,4.0,C,B,C,A,A,B,C,A,B
60749,2020,18 anos,M,Parda,1,cursando,Pública,Maceió,AL,,,,,1,,,,,,,,,,,,,,,,
62482,2020,24 anos,F,Parda,1,concluiu,Não respondeu,Ibirité,MG,,,,,0,,,B,C,B,B,4.0,B,B,C,A,A,B,B,B,A
63286,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Fortaleza,CE,,,,,0,,,E,E,D,D,3.0,G,D,D,B,B,B,D,C,B
64025,2020,22 anos,M,Preta,1,concluiu,Não respondeu,Atibaia,SP,,,,,0,,,C,A,C,B,3.0,D,C,C,B,A,B,C,A,A
65712,2020,18 anos,F,Parda,1,cursando,Pública,Fortaleza,CE,,,,,0,,,E,E,C,B,2.0,B,C,C,A,B,B,C,A,B
69132,2020,17 anos,F,Parda,1,cursando,Pública,São Luís,MA,,,,,1,,,B,C,F,F,6.0,B,B,B,A,A,B,D,B,B
69214,2020,24 anos,F,Branca,1,concluiu,Não respondeu,Ituiutaba,MG,,,,,0,,,D,E,B,C,5.0,C,B,D,B,A,B,D,A,B
69469,2020,18 anos,F,Parda,1,cursando,Pública,Camaçari,BA,,,,,0,,,E,D,D,A,2.0,D,B,C,A,A,B,C,A,B
70070,2020,25 anos,F,Parda,1,concluiu,Não respondeu,Brasília,DF,416.3,,,422.8,1,,,,,,,,,,,,,,,,
75731,2020,21 anos,M,Branca,1,concluiu,Não respondeu,São José do Rio Pardo,SP,,,,,0,,,D,C,C,F,4.0,D,B,C,B,A,B,B,A,B
77584,2020,19 anos,F,Preta,1,cursando,Não respondeu,João Pessoa,PB,,,,,0,,,B,C,B,B,4.0,B,B,C,A,A,B,C,A,A
78661,2020,17 anos,F,Parda,1,cursando,Pública,Camaçari,BA,,,,,1,,,H,F,F,D,5.0,E,C,C,A,A,B,D,A,B
82717,2020,18 anos,F,Parda,2,cursando,Pública,Queimadas,PB,,,,,0,,,B,E,B,B,5.0,B,B,C,A,A,B,B,A,B
83031,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Lorena,SP,,,,,1,,,E,E,F,D,5.0,C,B,C,B,A,B,D,B,B
86862,2020,21 anos,F,Branca,1,concluiu,Não respondeu,Brasília,DF,,,,,0,,,E,E,B,B,3.0,C,B,C,A,A,B,C,A,B
87053,2020,Entre 41 e 45 anos,M,Parda,1,concluiu,Não respondeu,São Luís,MA,,,,,0,,,H,H,F,B,7.0,B,B,C,A,B,B,D,A,A
87845,2020,19 anos,F,Preta,1,concluiu,Não respondeu,Maceió,AL,,,,,0,,,E,G,D,D,3.0,D,C,D,A,A,B,D,A,B
88015,2020,18 anos,M,Preta,1,cursando,Pública,Nazaré da Mata,PE,,,,,1,,,H,H,A,B,5.0,B,B,C,A,A,B,B,A,B
90472,2020,18 anos,F,Preta,1,cursando,Pública,Jaboatão dos Guararapes,PE,,,,,1,,,E,B,C,B,3.0,A,B,C,A,A,B,D,B,B
92649,2020,22 anos,F,Parda,1,concluiu,Não respondeu,Seabra,BA,,,,,1,,,C,C,A,A,10.0,B,B,C,A,A,B,C,A,A
92901,2020,19 anos,F,Parda,1,concluiu,Não respondeu,São Paulo,SP,452.9,,,512.8,1,,,,,,,,,,,,,,,,
92958,2020,17 anos,M,Parda,1,cursando,Pública,Fortaleza,CE,532.7,,,440.8,0,,,E,E,B,B,3.0,B,B,B,A,A,B,B,A,B
95856,2020,17 anos,M,Branca,1,cursando,Pública,Mossoró,RN,,,,,0,,,E,E,D,D,4.0,F,B,C,B,C,B,E,C,B
96443,2020,Entre 36 e 40 anos,F,Parda,1,concluiu,Não respondeu,Juazeiro,BA,,,,,0,,,C,C,A,A,1.0,A,B,C,A,A,B,B,B,B
98356,2020,17 anos,F,Branca,1,cursando,Pública,Picos,PI,,,,,1,,,C,G,A,D,4.0,C,B,C,B,B,B,C,A,B
99154,2020,17 anos,F,Branca,1,cursando,Privada,Rio de Janeiro,RJ,,,,,0,,,G,G,E,E,3.0,D,C,D,B,A,B,C,C,B
100167,2020,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Embu-Guaçu,SP,,,,,1,,,C,D,C,F,5.0,G,B,D,B,A,B,C,A,B
101633,2020,18 anos,M,Branca,1,concluiu,Não respondeu,Maceió,AL,,,,,1,,,C,C,C,C,4.0,C,B,C,A,B,B,B,B,B
102195,2020,17 anos,F,Branca,1,cursando,Não respondeu,Goiânia,GO,,,,,1,,,E,E,F,F,3.0,D,B,C,A,B,B,C,B,B
102210,2020,23 anos,F,Branca,1,concluiu,Não respondeu,Passo Fundo,RS,,,,,0,,,D,C,C,C,2.0,F,B,B,A,A,B,C,B,B
102505,2020,21 anos,F,Parda,1,cursando,Pública,Aracaju,SE,,,,,1,,,D,B,B,F,4.0,B,B,C,A,B,B,D,A,B
102647,2020,18 anos,M,Parda,1,cursando,Pública,Parnaíba,PI,,,,,1,,,,,,,,,,,,,,,,
102887,2020,22 anos,F,Branca,1,concluiu,Não respondeu,Juazeiro do Norte,CE,,,,,1,,,A,A,A,A,4.0,D,C,C,A,A,B,C,A,B
103238,2020,17 anos,F,Parda,1,cursando,Não respondeu,Montes Claros,MG,,,,,1,,,E,H,D,D,3.0,G,D,C,B,A,C,D,B,B
103650,2020,24 anos,M,Branca,1,concluiu,Não respondeu,São Gonçalo,RJ,,,,,0,,,,,,,,,,,,,,,,
103891,2020,19 anos,F,Branca,2,concluiu,Não respondeu,Sobradinho,RS,,,,,1,,,B,D,A,A,3.0,C,B,D,B,A,B,C,A,B
104334,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Charqueadas,RS,,,,,1,,,B,E,B,B,2.0,A,B,B,A,A,B,B,A,A
107390,2020,Entre 41 e 45 anos,M,Parda,1,concluiu,Não respondeu,Manaus,AM,,,,,1,,,B,C,C,B,3.0,C,B,B,A,A,B,C,A,A
108335,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Maringá,PR,,,,,1,,,C,B,B,B,4.0,C,B,C,B,B,B,E,B,B
110464,2020,Entre 36 e 40 anos,M,Branca,1,concluiu,Não respondeu,Ilhéus,BA,,,,,1,,,F,C,E,F,2.0,G,C,C,A,A,B,A,B,B
111446,2020,18 anos,M,Branca,1,cursando,Pública,Várzea Grande,MT,,,,,1,,,D,D,D,C,3.0,B,B,C,A,A,B,C,B,A
112099,2020,19 anos,M,Branca,1,concluiu,Não respondeu,São João da Boa Vista,SP,,,,,0,,,E,E,C,B,3.0,I,C,D,B,C,B,D,B,B
112347,2020,17 anos,F,Preta,1,cursando,Pública,Guarulhos,SP,,,,,1,,,E,E,E,E,3.0,B,C,B,A,A,B,B,A,B
118863,2020,23 anos,F,Parda,1,concluiu,Não respondeu,Osasco,SP,,,,,0,,,B,D,B,F,4.0,B,B,B,A,A,B,B,A,B
120388,2020,20 anos,M,Branca,1,concluiu,Não respondeu,Vigia,PA,,,,,1,,,E,H,C,B,2.0,B,B,C,A,A,B,C,A,B
124387,2020,17 anos,F,Branca,1,cursando,Não respondeu,Natal,RN,,,,,1,,,E,D,C,F,3.0,F,C,C,B,A,B,D,D,B
124621,2020,17 anos,F,Branca,1,cursando,Pública,Goiânia,GO,,,,,0,,,C,F,C,D,3.0,E,C,D,A,A,C,D,A,B
125288,2020,18 anos,M,Branca,1,cursando,Pública,Igaci,AL,0.0,,,0.0,0,,,B,B,B,A,3.0,B,B,C,B,B,B,C,A,B
126508,2020,18 anos,F,Parda,1,cursando,Pública,Santos,SP,,,,,0,,,B,E,D,B,3.0,C,B,A,A,A,B,D,A,B
126579,2020,21 anos,F,Parda,1,concluiu,Não respondeu,Aracati,CE,,,,,1,,,C,D,A,A,3.0,B,B,C,B,A,B,D,A,B
127294,2020,17 anos,F,Branca,1,cursando,Pública,Cascavel,PR,,,,,0,,,B,B,A,A,4.0,D,B,D,B,A,C,E,D,B
128647,2020,18 anos,M,Parda,1,concluiu,Não respondeu,Vitória da Conquista,BA,,,,,1,,,B,B,B,B,5.0,B,B,D,A,A,B,B,B,A
128740,2020,Entre 31 e 35 anos,M,Branca,1,concluiu,Não respondeu,Dourados,MS,561.2,,,402.3,0,,,E,G,D,D,1.0,D,B,B,A,A,B,B,B,B
128943,2020,18 anos,M,Branca,1,cursando,Pública,São Paulo,SP,,,,,0,,,B,F,F,D,5.0,B,B,C,B,A,B,D,B,B
133816,2020,Menor de 17 anos,F,Parda,1,cursando,Não respondeu,Surubim,PE,,,,,0,,,B,B,A,A,4.0,B,C,C,A,A,B,C,A,B
134690,2020,18 anos,M,Branca,1,concluiu,Não respondeu,Marabá,PA,,,,,1,,,C,C,C,C,5.0,E,B,D,A,B,B,D,B,B
137711,2020,17 anos,F,Parda,1,cursando,Pública,Olinda,PE,402.7,,,453.4,1,,,H,G,F,E,5.0,F,B,C,B,A,B,D,A,B
140551,2020,19 anos,M,Branca,1,cursando,Pública,Crato,CE,396.7,,,412.8,0,,,D,B,C,C,3.0,B,B,C,B,A,B,B,B,B
143819,2020,18 anos,F,Preta,1,cursando,Pública,Redenção,PA,,,,,0,,,B,B,C,B,4.0,B,A,B,A,A,B,B,A,A
144076,2020,17 anos,F,Preta,1,cursando,Pública,Cuiabá,MT,,,,,1,,,D,E,F,F,3.0,D,C,D,B,A,B,D,A,B
146698,2020,19 anos,M,Parda,2,concluiu,Não respondeu,São Paulo,SP,,,,,0,,,F,E,E,D,2.0,D,B,B,A,A,B,C,A,A
147942,2020,18 anos,M,Preta,1,cursando,Pública,Guanambi,BA,,,,,0,,,B,C,C,C,4.0,B,C,D,A,B,B,E,B,B
148248,2020,18 anos,F,Branca,1,cursando,Privada,Campo Grande,MS,,,,,1,,,E,F,D,D,4.0,I,C,D,B,A,B,E,C,B
148732,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Ocara,CE,,,,,1,,,B,E,A,A,3.0,B,B,C,A,A,B,C,A,B
149501,2020,19 anos,M,Branca,1,concluiu,Não respondeu,Brasília,DF,,,,,0,,,F,G,D,D,4.0,O,C,D,C,A,B,E,E,B
150542,2020,Menor de 17 anos,F,Parda,1,cursando,Não respondeu,Porto Nacional,TO,,,,,0,,,D,D,A,A,4.0,B,B,C,A,A,B,B,A,A
150584,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,B,C,B,B,3.0,D,B,A,A,A,B,C,A,B
150649,2020,20 anos,M,Não declarado,1,concluiu,Não respondeu,Simões Filho,BA,,,,,1,,,E,E,C,B,5.0,B,A,D,A,A,B,D,A,B
150774,2020,18 anos,M,Preta,1,cursando,Pública,Itapajé,CE,,,,,1,,,B,B,A,A,2.0,B,B,C,A,A,B,C,A,B
151296,2020,21 anos,M,Amarela,1,concluiu,Não respondeu,Rio Branco,AC,,,,,0,,,E,D,F,B,5.0,B,B,C,A,A,B,C,A,B
153195,2020,25 anos,F,Parda,1,concluiu,Não respondeu,Iguatu,CE,,,,,0,,,E,C,A,A,2.0,B,B,B,A,A,B,B,A,B
153836,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Mossoró,RN,,,,,0,,,E,E,D,B,4.0,F,E,D,B,B,B,E,B,B
154171,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Nazaré,BA,,,,,1,,,H,C,F,A,4.0,B,B,D,A,A,B,C,A,B
154527,2020,20 anos,F,Branca,1,concluiu,Não respondeu,Caruaru,PE,,,,,0,,,H,D,C,C,4.0,B,B,B,A,B,B,D,A,B
155077,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Natal,RN,,,,,1,,,,,,,,,,,,,,,,
155089,2020,18 anos,F,Branca,1,cursando,Pública,Arinos,MG,,,,,1,,,C,C,A,A,4.0,D,C,E,C,C,C,E,C,B
158060,2020,17 anos,F,Parda,1,cursando,Pública,Salvador,BA,,,,,0,,,B,E,C,B,3.0,C,B,C,A,A,B,D,B,B
159283,2020,Entre 31 e 35 anos,M,Branca,1,concluiu,Não respondeu,São Paulo,SP,,,,,1,,,,,,,,,,,,,,,,
159475,2020,Entre 26 e 30 anos,F,Amarela,2,concluiu,Não respondeu,Goiânia,GO,,,,,1,,,,,,,,,,,,,,,,
159483,2020,21 anos,F,Parda,1,concluiu,Não respondeu,Três Corações,MG,,,,,1,,,D,A,C,B,5.0,G,B,D,B,A,B,D,A,B
159787,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Teresina,PI,,,,,0,,,G,F,E,E,4.0,M,D,D,C,A,B,D,E,B
159914,2020,21 anos,F,Branca,1,concluiu,Não respondeu,Valparaíso de Goiás,GO,,,,,1,,,B,E,B,C,4.0,D,B,C,B,A,B,E,B,B
162366,2020,18 anos,F,Branca,1,cursando,Pública,Guarapari,ES,,,,,1,,,E,C,A,B,4.0,B,C,D,A,B,B,E,B,B
163442,2020,18 anos,F,Preta,2,cursando,Pública,Recife,PE,,,,,1,,,C,E,C,B,4.0,C,C,D,B,B,B,E,A,B
163893,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Ribeirão Preto,SP,,,,,0,,,C,F,B,D,5.0,G,C,D,B,A,B,E,B,B
164925,2020,20 anos,F,Preta,1,cursando,Pública,Juazeiro do Norte,CE,,,,,1,,,E,E,C,B,5.0,B,B,C,A,B,B,D,A,B
165677,2020,22 anos,M,Parda,1,cursando,Pública,Teresina,PI,,,,,0,,,,,,,,,,,,,,,,
167009,2020,Entre 46 e 50 anos,M,Parda,1,concluiu,Não respondeu,Rio Branco,AC,,,,,1,,,A,A,A,B,4.0,C,B,B,B,A,B,B,B,B
167949,2020,17 anos,F,Parda,1,cursando,Não respondeu,Aracaju,SE,,,,,0,,,E,E,B,B,3.0,C,B,D,B,A,B,D,B,B
172496,2020,20 anos,F,Parda,2,concluiu,Não respondeu,Juiz de Fora,MG,,,,,0,,,D,C,B,B,3.0,C,B,C,A,A,B,D,A,B
174050,2020,20 anos,F,Preta,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,B,E,B,B,4.0,D,B,C,B,A,B,D,A,B
174190,2020,17 anos,M,Não declarado,1,cursando,Não respondeu,Fortaleza,CE,,,,,0,,,F,F,D,D,4.0,F,C,C,A,B,B,C,B,B
175230,2020,Entre 46 e 50 anos,F,Preta,1,concluiu,Não respondeu,Recife,PE,,,,,1,,,,,,,,,,,,,,,,
175710,2020,18 anos,M,Branca,1,cursando,Pública,Guaxupé,MG,,,,,0,,,D,C,D,B,5.0,E,B,D,A,A,B,E,A,B
175782,2020,24 anos,F,Preta,4,concluiu,Não respondeu,Iporá,GO,,,,,1,,,H,B,F,B,2.0,B,B,C,A,A,B,C,A,B
176993,2020,18 anos,F,Parda,2,cursando,Pública,Caetité,BA,,,,,0,,,E,E,C,D,5.0,C,B,D,B,A,B,D,B,B
177490,2020,18 anos,F,Preta,1,cursando,Pública,Porto Seguro,BA,,,,,1,,,E,E,C,C,5.0,B,B,C,A,A,B,B,A,B
179473,2020,21 anos,M,Preta,1,concluiu,Não respondeu,Juína,MT,,,,,0,,,A,B,C,B,1.0,B,B,B,A,A,B,B,A,B
180902,2020,19 anos,F,Parda,1,cursando,Pública,Patu,RN,,,,,1,,,D,C,B,B,3.0,B,B,B,A,A,B,C,A,B
180913,2020,21 anos,F,Parda,1,concluiu,Não respondeu,Fortaleza,CE,,,,,1,,,B,C,B,B,3.0,C,B,C,A,A,B,C,A,B
182590,2020,18 anos,M,Parda,1,cursando,Pública,Ceres,GO,,,,,1,,,C,E,B,B,5.0,C,B,C,A,B,B,C,A,A
185327,2020,18 anos,M,Preta,1,cursando,Pública,Recife,PE,404.6,,,483.1,1,,,H,H,A,B,2.0,B,B,C,A,A,B,C,A,B
185499,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Caruaru,PE,,,,,0,,,B,D,C,C,3.0,E,B,C,A,A,B,D,B,B
185752,2020,Entre 26 e 30 anos,M,Parda,1,concluiu,Não respondeu,Brasília,DF,,,,,1,,,B,B,B,B,4.0,B,B,B,A,A,B,C,B,B
187558,2020,18 anos,M,Parda,1,cursando,Pública,Lagarto,SE,,,,,1,,,E,D,D,F,3.0,D,E,E,B,B,B,D,B,B
188623,2020,18 anos,M,Branca,1,cursando,Privada,Cachoeira do Sul,RS,,,,,0,,,E,G,C,D,4.0,I,B,C,B,A,B,E,D,B
192098,2020,21 anos,F,Preta,1,concluiu,Não respondeu,São Gonçalo,RJ,,,,,1,,,C,E,B,B,4.0,B,B,C,A,A,B,C,A,B
192235,2020,17 anos,F,Branca,1,cursando,Pública,Visconde do Rio Branco,MG,,,,,0,,,H,D,F,B,2.0,C,B,C,A,B,B,C,B,B
193598,2020,Entre 56 e 60 anos,M,Preta,1,concluiu,Não respondeu,São Luís,MA,,,,,1,,,,,,,,,,,,,,,,
194630,2020,18 anos,M,Parda,1,cursando,Pública,Guanambi,BA,,,,,0,,,E,C,B,B,4.0,F,C,D,B,B,B,C,A,B
197253,2020,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Salvador,BA,,,,,0,,,C,C,C,C,3.0,D,B,C,A,A,B,C,B,B
197403,2020,18 anos,M,Parda,1,cursando,Pública,Gravatá,PE,,,,,0,,,B,B,A,B,4.0,B,B,B,A,A,B,B,A,B
201615,2020,17 anos,F,Branca,1,cursando,Pública,Camaragibe,PE,,,,,0,,,D,E,D,B,4.0,C,B,B,B,B,B,E,B,B
205884,2020,18 anos,M,Parda,1,cursando,Pública,Formosa do Rio Preto,BA,,,,,1,,,F,D,D,B,3.0,B,B,C,A,A,B,B,A,B
206987,2020,18 anos,M,Parda,1,cursando,Pública,São Luís,MA,,,,,0,,,C,D,C,B,3.0,B,B,C,A,A,B,C,A,A
207705,2020,19 anos,F,Parda,1,cursando,Pública,Recife,PE,,,,,0,,,H,D,B,B,5.0,A,B,C,A,A,B,D,A,B
208142,2020,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Maracanaú,CE,,,,,1,,,C,E,C,B,4.0,C,B,C,A,A,B,C,A,B
212501,2020,17 anos,F,Branca,1,cursando,Privada,Salvador,BA,,,,,0,,,E,E,D,C,3.0,H,B,C,B,A,B,B,A,B
214399,2020,18 anos,M,Branca,1,cursando,Privada,Niterói,RJ,,,,,0,,,G,G,E,E,5.0,I,C,D,B,A,B,D,B,B
216411,2020,17 anos,F,Parda,1,cursando,Pública,São Paulo,SP,,,,,0,,,E,G,E,D,6.0,P,C,D,B,A,B,E,D,B
217348,2020,17 anos,M,Branca,1,cursando,Pública,Campo Grande,MS,,,,,0,,,B,E,B,B,4.0,C,B,C,B,A,B,C,B,B
218011,2020,19 anos,M,Parda,1,cursando,Pública,Alto do Rodrigues,RN,,,,,0,,,E,C,C,B,3.0,B,C,B,A,B,B,C,A,B
218141,2020,17 anos,M,Branca,1,cursando,Privada,Campinas,SP,,,,,0,,,E,E,C,B,4.0,G,B,C,B,B,B,E,B,B
219372,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Sete Lagoas,MG,,,,,1,,,E,E,C,C,2.0,C,C,C,B,A,B,C,A,B
222081,2020,18 anos,M,Preta,1,cursando,Pública,Francisco Morato,SP,,,,,1,,,B,E,F,B,5.0,B,B,D,B,A,B,D,B,B
223863,2020,Entre 41 e 45 anos,F,Parda,1,concluiu,Não respondeu,Novo Hamburgo,RS,,,,,1,,,B,B,C,F,6.0,D,B,D,A,A,B,D,B,B
225181,2020,17 anos,F,Parda,2,cursando,Pública,Patos de Minas,MG,,,,,0,,,F,E,E,D,3.0,C,C,D,B,A,B,C,B,B
225360,2020,17 anos,F,Branca,1,cursando,Não respondeu,Recife,PE,,,,,0,,,G,G,D,D,4.0,I,C,D,B,A,B,D,C,B
226860,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Itapiranga,SC,,,,,1,,,B,B,A,A,3.0,B,B,C,B,A,B,C,B,B
228183,2020,Entre 46 e 50 anos,M,Branca,1,concluiu,Não respondeu,São Paulo,SP,,,,,0,,,,,,,,,,,,,,,,
231289,2020,18 anos,F,Branca,1,cursando,Pública,Juazeiro do Norte,CE,,,,,1,,,E,E,D,B,6.0,F,C,C,A,A,B,C,A,B
233684,2020,23 anos,F,Parda,1,concluiu,Não respondeu,Vitória da Conquista,BA,,,,,1,,,E,B,A,B,3.0,A,B,C,A,A,B,C,A,B
233960,2020,18 anos,F,Parda,1,cursando,Pública,Maracanaú,CE,,,,,0,,,B,E,D,D,7.0,D,C,E,A,B,B,E,B,B
234516,2020,18 anos,M,Branca,1,cursando,Pública,Dourados,MS,,,,,0,,,E,G,B,D,2.0,H,B,C,B,A,B,C,B,B
234665,2020,21 anos,F,Branca,1,concluiu,Não respondeu,São Paulo,SP,,,,,0,,,D,E,C,D,4.0,E,C,C,B,A,B,E,B,B
235388,2020,17 anos,M,Branca,1,cursando,Pública,Ribeirão Preto,SP,,,,,0,,,F,E,D,D,3.0,G,C,C,C,A,B,D,C,B
235511,2020,17 anos,M,Branca,1,cursando,Privada,Curitiba,PR,601.8,,,688.1,1,,,E,G,C,E,6.0,G,C,D,E,A,C,E,D,B
235591,2020,Menor de 17 anos,F,Branca,1,cursando,Não respondeu,São Pedro da Aldeia,RJ,,,,,0,,,D,E,D,B,4.0,E,C,C,B,A,B,D,B,B
