,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
1193991,2020,17 anos,M,Branca,1,cursando,Não respondeu,São Miguel do Oeste,SC,,557.4,567.3,,0,1.0,460.0,D,E,D,D,5.0,K,C,E,C,B,B,E,B,B
1197686,2020,25 anos,M,Parda,1,concluiu,Não respondeu,Carapicuíba,SP,,397.9,421.7,,1,1.0,320.0,E,C,C,B,2.0,B,B,B,B,A,B,C,A,B
1198959,2020,23 anos,F,Branca,1,concluiu,Não respondeu,São Paulo,SP,,522.1,540.4,,0,1.0,680.0,E,F,F,B,1.0,B,B,B,A,A,B,B,B,B
1200154,2020,21 anos,M,Parda,1,cursando,Pública,Pirenópolis,GO,,446.5,449.8,,1,1.0,540.0,B,B,A,A,2.0,C,C,C,A,A,B,C,A,B
1203139,2020,18 anos,F,Branca,1,cursando,Pública,Jaciara,MT,,361.9,332.0,,1,3.0,0.0,B,E,A,A,4.0,B,B,D,A,A,B,D,A,B
1207366,2020,22 anos,M,Preta,1,concluiu,Não respondeu,Recife,PE,,404.3,469.1,,0,1.0,560.0,E,F,D,D,4.0,D,B,C,A,A,B,C,B,B
1207803,2020,18 anos,F,Parda,1,cursando,Pública,Fortaleza,CE,,470.5,527.3,,1,1.0,320.0,B,B,B,B,3.0,B,B,B,A,A,B,B,A,A
1212513,2020,17 anos,F,Branca,1,cursando,Pública,Ji-Paraná,RO,,350.7,455.2,,1,1.0,340.0,A,C,C,B,4.0,C,B,D,A,A,B,E,B,B
1212928,2020,20 anos,M,Branca,1,concluiu,Não respondeu,Niterói,RJ,,679.8,628.5,,0,1.0,880.0,F,E,E,D,3.0,J,D,D,C,A,B,D,B,B
1217420,2020,21 anos,M,Branca,1,concluiu,Não respondeu,Palmeira dos Índios,AL,,358.4,385.8,,1,1.0,300.0,D,E,C,B,5.0,B,B,C,A,A,B,C,A,A
1224768,2020,19 anos,M,Parda,1,concluiu,Não respondeu,Arujá,SP,,552.7,550.2,,0,1.0,820.0,B,D,B,B,4.0,G,C,C,A,A,C,D,C,B
